#{"t_start": 1750661554.8359275, "env_id": "None"}
r,l,t
-7.076331,1,0.038906
-7.063342,1,0.062941
-7.073408,1,0.086277
-7.094616,1,0.109082
-7.101029,1,0.136059
-7.072922,1,0.158183
-7.092803,1,0.180753
-7.101497,1,0.203903
-7.071651,1,0.227479
-7.073787,1,0.252909
-7.097943,1,0.275198
-7.097122,1,0.297822
-7.075592,1,0.320353
-7.099488,1,0.346027
-7.090451,1,0.369061
-7.076454,1,0.39106
-7.071687,1,0.414552
-7.071389,1,0.437555
-7.091727,1,0.46395
-7.088019,1,0.486311
-7.057104,1,0.509608
-7.104147,1,0.533294
-7.104054,1,0.558534
-7.058274,1,0.581477
-7.082227,1,0.605151
-7.04852,1,0.628618
-7.072612,1,0.654651
-7.050642,1,0.678082
-7.048647,1,0.700107
-7.072806,1,0.722129
-7.101778,1,0.744249
-7.066993,1,0.770745
-7.099652,1,0.793905
-7.094808,1,0.817049
-7.059092,1,0.83978
-7.087769,1,0.864127
-7.084223,1,0.887891
-7.080349,1,0.911666
-7.06795,1,0.934626
-7.065405,1,0.957994
-7.088845,1,0.983965
-7.075615,1,1.008673
-7.078952,1,1.031707
-7.099827,1,1.054217
-7.063272,1,1.079568
-7.076009,1,1.10224
-7.098453,1,1.125518
-7.070575,1,1.149335
-7.101315,1,1.174998
-7.07017,1,1.19726
-7.075802,1,1.220035
-7.096372,1,1.241684
-7.086409,1,1.263992
-7.092481,1,1.291067
-7.098374,1,1.314421
-7.078291,1,1.337283
-7.067897,1,1.360817
-7.097519,1,1.38607
-7.091818,1,1.408718
-7.070727,1,1.431759
-7.071349,1,1.454726
-7.07604,1,1.480354
-7.102751,1,1.505005
-7.072492,1,1.527194
-7.063451,1,1.549782
-7.085638,1,1.572889
-7.053627,1,1.598666
-7.094966,1,1.621287
-7.095101,1,1.644521
-7.062598,1,1.667228
-7.069153,1,1.69298
-7.069872,1,1.715239
-7.079799,1,1.737613
-7.077316,1,1.759082
-7.050122,1,1.781983
-7.071892,1,1.807523
-7.095756,1,1.830594
-7.061626,1,1.852715
-7.085599,1,1.876113
-7.085515,1,1.90088
-7.0764,1,1.922009
-7.075224,1,1.94477
-7.063854,1,1.967083
-7.067691,1,1.990127
-7.103403,1,2.014949
-7.049502,1,2.037843
-7.055143,1,2.060571
-7.103974,1,2.0826
-7.074914,1,2.107441
-7.070007,1,2.129061
-7.081326,1,2.151514
-7.066069,1,2.174719
-7.101545,1,2.197102
-7.087333,1,2.223335
-7.103651,1,2.246343
-7.104027,1,2.268563
-7.071587,1,2.291237
-7.071073,1,2.316609
-7.097946,1,2.33916
-7.071271,1,2.362102
-7.090091,1,2.496353
-7.047838,1,2.522983
-7.076288,1,2.54626
-7.06723,1,2.569767
-7.069662,1,2.591641
