Episode,Reward,Length
303,-1758.9155,32
304,-3521.5117,77
305,-2789.5347,44
306,-1624.0356,35
307,-600.03644,13
308,-9584.451,235
309,-1492.4144,26
310,-1784.0042,26
311,-2231.9753,43
312,-2342.0774,36
313,-4965.936,91
314,-4913.813,94
315,-1588.5463,31
316,-4905.8237,70
317,-2096.726,43
318,-1332.1989,19
319,-9743.172,173
320,-1743.466,30
321,-534.7465,10
322,-1906.5732,31
323,-3463.448,64
324,-751.2534,20
325,-24915.012,500
326,-1955.1919,30
327,-2078.5305,43
328,-1660.5361,38
329,-1225.1332,21
330,-1933.5126,39
331,-4514.191,74
332,-2378.3018,31
333,-2133.7495,49
334,-2140.613,37
335,-1586.74,27
336,-2511.872,46
337,-30555.635,500
338,-26316.486,500
339,-1674.717,32
340,-1128.1158,24
341,-2285.0151,30
342,-5554.0137,105
343,-1468.7396,29
344,-3824.753,64
345,-1401.7643,20
346,-1524.3586,34
347,-1078.3375,25
348,-1571.3651,22
349,-2526.1392,49
350,-2064.4617,47
351,-2144.5437,39
352,-1556.2927,34
353,-2986.5068,55
354,-25027.555,500
355,-4087.9565,62
356,-3073.2878,50
357,-983.59454,22
358,-1947.5413,31
359,-2580.3838,52
360,-1781.9496,33
361,-2471.3801,53
362,-38449.02,500
363,-1626.05,22
364,-4333.9272,92
365,-1251.0656,21
366,-1918.402,32
367,-1798.7991,35
368,-2369.1724,43
369,-902.2585,18
370,-3395.8794,79
371,-2643.1294,46
372,-1506.4749,23
373,-1687.2239,27
374,-11574.037,240
375,-1147.3346,30
376,-1053.7867,23
377,-2142.3762,34
378,-29939.887,500
379,-3314.644,52
380,-33310.76,500
381,-1934.0491,34
382,-1488.775,28
383,-28559.967,500
384,-4897.436,118
385,-2468.4026,50
386,-3449.6846,45
387,-20411.463,500
388,-30165.318,500
389,-2798.6853,38
390,-1396.6858,36
391,-33818.188,500
392,-1584.8457,33
393,-1226.0249,24
394,-1229.1202,20
395,-3573.6199,65
396,-1249.0065,25
397,-706.53064,12
398,-1172.9202,22
399,-1774.0465,45
400,-4555.4844,110
401,-26327.785,500
402,-2739.9487,43
403,-1235.4424,27
404,-2151.9377,46
405,-1276.9207,24
406,-1500.4939,21
407,-2610.4492,38
408,-1097.948,19
409,-1442.3242,22
410,-1442.2491,27
411,-999.791,27
412,-2789.102,51
413,-1344.8292,23
414,-864.29395,18
415,-1509.8926,27
416,-3142.3853,63
417,-3794.752,67
418,-2380.9165,49
419,-5093.414,69
420,-1193.4755,24
421,-3224.8135,55
422,-1954.2983,45
423,-40653.98,500
424,-1543.8662,37
425,-1982.9379,37
426,-2659.8547,42
427,-2225.5647,37
428,-3559.0776,46
429,-805.51556,19
430,-1843.8826,30
431,-33565.94,500
432,-1181.984,26
433,-15107.017,262
434,-2381.8396,43
435,-849.0665,22
436,-1710.4283,31
437,-2366.979,50
438,-3515.9817,74
439,-1206.1409,26
440,-27543.393,500
441,-2027.1353,31
442,-2703.1716,50
443,-1477.247,35
444,-3658.143,57
445,-3574.0916,50
446,-11500.23,283
447,-6891.6255,149
448,-1704.0459,30
449,-2241.9302,42
450,-925.99976,21
451,-4131.401,54
452,-3517.4736,53
453,-574.8137,13
454,-1248.1948,32
455,-1753.68,37
456,-1519.873,40
457,-27209.697,500
458,-1831.8369,43
459,-1201.0684,18
460,-1779.0471,31
461,-1795.0865,35
462,-1634.591,33
463,-556.77454,12
464,-1481.4781,27
465,-1250.0198,25
466,-1331.4657,27
467,-693.0283,15
468,-1161.0109,19
469,-1264.2485,30
470,-1937.7365,41
471,-603.0233,13
472,-2857.604,46
473,-5316.5063,100
474,-24112.053,500
475,-854.99603,18
476,-1522.9738,29
477,-2217.4783,38
478,-462.59323,10
479,-1036.7817,18
480,-2043.1855,30
481,-2099.1147,38
482,-1329.2843,22
483,-1598.3915,35
484,-1979.1512,28
485,-2317.2007,33
486,-1960.1088,25
487,-26264.262,500
488,-1624.397,30
489,-2384.137,34
490,-24378.197,500
491,-22779.352,500
492,-379.95566,8
493,-1726.901,37
494,-4563.4736,66
495,-1524.0006,32
496,-2028.4961,31
497,-24721.186,500
498,-1445.641,25
499,-25345.566,500
500,-1996.661,30
501,-30650.299,500
502,-2495.755,49
503,-1022.9917,18
504,-3923.567,66
505,-13430.75,500
506,-2185.9434,41
507,-4065.833,89
508,-6157.444,82
509,-1791.3947,28
510,-1872.5161,31
511,-1299.4341,32
512,-2552.196,58
513,-1942.0863,36
514,-34048.523,500
515,-1494.9934,28
516,-1833.2235,36
517,-1057.9072,31
518,-1364.0051,22
519,-1343.5126,24
520,-1156.4021,21
521,-2237.103,35
522,-1288.2429,22
523,-1221.2653,20
524,-1234.703,17
525,-1111.4521,17
526,-2639.8887,58
527,-1091.2477,25
528,-479.0056,9
529,-1056.3881,21
530,-1135.0358,20
531,-819.3741,16
532,-1650.0977,23
533,-22894.719,443
534,-660.033,13
535,-35856.27,500
536,-4055.7612,54
537,-2328.5496,37
538,-1702.51,38
539,-33723.066,500
540,-936.9354,18
541,-1669.9541,28
542,-1153.3727,20
543,-20950.16,500
544,-4774.8433,81
545,-1783.7004,32
546,-1260.1094,23
547,-1462.2386,24
548,-3675.516,56
549,-1579.2975,24
550,-3977.457,53
551,-2311.2556,34
552,-1484.3937,21
553,-1302.5833,27
554,-1641.844,31
555,-1815.8717,41
556,-3875.864,74
557,-31628.307,500
558,-1570.5806,34
559,-1579.1921,24
560,-2872.2844,37
561,-849.0004,13
562,-2903.1174,42
563,-1694.6665,26
564,-1018.67065,23
565,-1121.0189,24
566,-1735.4077,30
567,-1773.1338,26
568,-12618.14,284
569,-1849.4015,32
570,-1205.5844,31
571,-807.15234,15
572,-1282.664,24
573,-1283.0391,22
574,-2650.279,43
575,-1483.5009,25
576,-1060.9564,27
577,-3587.8325,113
578,-1622.081,34
579,-1191.811,20
580,-1180.4359,23
581,-2785.6223,58
582,-2128.6304,39
583,-35398.78,500
584,-19461.814,500
585,-6108.883,108
586,-2119.229,46
587,-1787.2158,33
588,-6554.0137,117
589,-993.94995,19
590,-1335.8865,24
591,-1963.9716,31
592,-2619.6333,41
593,-592.7565,9
594,-1167.6506,22
595,-1093.2274,18
596,-6834.5146,80
597,-1429.9772,24
598,-1274.74,30
599,-451.53195,10
600,-8455.661,115
601,-1822.4536,24
602,-968.3723,17
603,-3745.4421,59
604,-10792.784,195
605,-27561.918,500
606,-2087.7852,31
607,-1635.3932,21
608,-5774.1836,94
609,-1554.0035,25
610,-2723.1418,47
611,-1154.225,26
612,-1386.5465,28
613,-2844.4336,45
614,-1288.5262,24
615,-34998.016,500
616,-6481.5933,109
617,-1858.1466,40
