#{"t_start": 1750661432.9082112, "env_id": "None"}
r,l,t
-291.969967,79,1.317584
-185.386663,60,2.311155
-55.59723,17,2.587222
-121.11455,35,3.146993
-114.921133,35,3.744842
-102.128519,37,4.313082
-159.917894,43,5.013774
-377.629192,108,6.772952
-318.657815,98,8.397299
-177.584814,51,9.191211
-256.784039,74,10.377016
-784.532066,164,13.19552
-590.970287,185,16.336933
-358.228912,83,17.648524
-187.115614,54,18.570647
-113.213175,42,19.279994
-148.956277,62,20.311255
-117.204535,37,20.876883
-424.864953,127,22.7784
-116.254951,39,23.412028
-123.947382,41,24.094122
-94.50885,26,24.536452
-235.310151,69,25.570357
-133.885686,32,26.130824
-253.068561,67,27.193052
-128.562414,52,28.041137
-206.988854,64,29.080768
-199.802625,61,30.130713
-204.072443,58,31.061212
-86.285472,30,31.523302
-209.333746,56,32.441327
-369.731352,133,34.568768
-77.872943,30,35.087749
-129.991494,35,35.642027
-125.235987,32,36.174249
-149.203905,43,36.875268
-159.21101,47,37.570693
-417.505765,127,39.667733
-289.223795,76,40.903831
-197.556132,47,41.744391
-237.39669,71,43.001063
-402.393326,102,44.744206
-345.85952,87,46.261311
-197.736044,59,47.193787
-148.113059,46,47.908983
-42.592312,15,48.160886
-108.217398,35,48.721351
-219.636999,56,49.68528
