#{"t_start": 1750661489.9693646, "env_id": "None"}
r,l,t
-3.167267,1,0.040218
-3.16091,1,0.063591
-3.170699,1,0.087933
-3.176126,1,0.109844
-3.16556,1,0.133125
-3.172089,1,0.156603
-3.164088,1,0.181135
-3.159888,1,0.20357
-3.166646,1,0.226775
-3.173435,1,0.249443
-3.160278,1,0.271939
-3.169732,1,0.297777
-3.169834,1,0.320331
-3.176051,1,0.342417
-3.165169,1,0.364188
-3.173688,1,0.390246
-3.16183,1,0.413882
-3.166159,1,0.435982
-3.16007,1,0.458876
-3.170583,1,0.48216
-3.174782,1,0.506998
-3.163356,1,0.52965
-3.171299,1,0.552221
-3.167102,1,0.57478
-3.158638,1,0.599891
-3.169019,1,0.622941
-3.168546,1,0.644951
-3.162808,1,0.66746
-3.163171,1,0.693139
-3.15187,1,0.715839
-3.154627,1,0.738415
-3.176016,1,0.762078
-3.164788,1,0.784513
-3.160722,1,0.808895
-3.177082,1,0.832305
-3.162859,1,0.855929
-3.163134,1,0.878785
-3.171536,1,0.903042
-3.174708,1,0.925603
-3.165137,1,0.947764
-3.165773,1,0.970143
-3.163444,1,0.992764
-3.175023,1,1.017023
-3.160717,1,1.039326
-3.174033,1,1.061497
-3.162105,1,1.084784
-3.169475,1,1.111058
-3.169032,1,1.133936
-3.17131,1,1.156899
-3.176616,1,1.179596
-3.163084,1,1.204171
-3.16364,1,1.226866
-3.164809,1,1.249352
-3.166054,1,1.27134
-3.174482,1,1.293653
-3.176677,1,1.319051
-3.16444,1,1.341887
-3.175624,1,1.364742
-3.168846,1,1.388747
-3.162134,1,1.414838
-3.17666,1,1.437704
-3.172001,1,1.460254
-3.165672,1,1.483289
-3.176555,1,1.506111
-3.166349,1,1.532145
-3.153948,1,1.554533
-3.156846,1,1.576873
-3.156483,1,1.598457
-3.173813,1,1.622718
-3.158244,1,1.644588
-3.157017,1,1.667049
-3.163982,1,1.689525
-3.156146,1,1.71242
-3.171655,1,1.737055
-3.166139,1,1.759867
-3.167825,1,1.782134
-3.163961,1,1.804075
-3.161615,1,1.829795
-3.153515,1,1.852498
-3.166484,1,1.876179
-3.17042,1,1.898557
-3.154339,1,1.92322
-3.161578,1,1.946897
-3.156049,1,1.969951
-3.177067,1,1.992493
-3.17211,1,2.01451
-3.157515,1,2.041119
-3.158468,1,2.064051
-3.174865,1,2.087342
-3.170549,1,2.110761
-3.161538,1,2.136334
-3.172409,1,2.158458
-3.17255,1,2.180858
-3.160631,1,2.204089
-3.163293,1,2.227098
-3.158573,1,2.252143
-3.167016,1,2.274754
-3.170667,1,2.298125
-3.172252,1,2.320581
-3.163904,1,2.345963
-3.159778,1,2.481136
