#{"t_start": 1750661642.9672747, "env_id": "None"}
r,l,t
-24.816501,1,0.034938
-28.586883,1,0.059385
-24.001539,1,0.082372
-19.342827,1,0.104765
-19.311568,1,0.127804
-22.263068,1,0.1509
-19.322237,1,0.177647
-21.328969,1,0.20027
-21.301529,1,0.221475
-19.349156,1,0.243516
-21.318759,1,0.267093
-19.340049,1,0.290269
-23.999506,1,0.313582
-24.819388,1,0.33579
-28.568349,1,0.357796
-19.327552,1,0.380794
-24.821487,1,0.403633
-22.239542,1,0.426168
-19.343226,1,0.449255
-19.346729,1,0.473222
-23.974817,1,0.496141
-28.588856,1,0.518012
-19.34131,1,0.540049
-21.318211,1,0.562167
-21.3327,1,0.585978
-19.31377,1,0.608239
-22.234808,1,0.630235
-23.991982,1,0.652617
-19.322938,1,0.676304
-23.997339,1,0.698197
-19.31358,1,0.719594
-23.998186,1,0.741486
-21.343611,1,0.763707
-19.333557,1,0.787409
-22.249397,1,0.809343
-19.328048,1,0.831325
-19.322942,1,0.853909
-19.318989,1,0.878043
-24.821256,1,0.900444
-21.319123,1,0.922781
-19.334311,1,0.945269
-28.583031,1,0.96893
-21.32235,1,0.993672
-24.80529,1,1.015999
-21.34373,1,1.0384
-19.309487,1,1.060688
-19.32045,1,1.085489
-22.22932,1,1.10874
-23.986645,1,1.131439
-22.244238,1,1.153857
-22.242293,1,1.176518
-19.343263,1,1.200295
-24.837125,1,1.223261
-28.592503,1,1.245424
-19.332983,1,1.267357
-22.228224,1,1.292358
-28.568493,1,1.314999
-19.319354,1,1.337797
-22.255554,1,1.360414
-19.3275,1,1.382799
-24.834263,1,1.407005
-28.569089,1,1.430071
-21.3189,1,1.452775
-19.324116,1,1.475103
-24.821473,1,1.499379
-28.597169,1,1.521775
-28.57,1,1.542789
-21.33984,1,1.565384
-21.299673,1,1.587553
-19.34,1,1.611641
-24.010656,1,1.635878
-19.321212,1,1.658718
-22.2374,1,1.681248
-19.329621,1,1.707887
-19.310408,1,1.730222
-23.990337,1,1.753204
-19.331406,1,1.775503
-21.326009,1,1.801265
-22.260887,1,1.823478
-22.247186,1,1.84599
-28.573573,1,1.868891
-21.315588,1,1.89197
-21.303839,1,1.917221
-19.343887,1,1.946649
-21.317404,1,1.968402
-21.301923,1,1.990067
-24.816112,1,2.015494
-19.313106,1,2.038
-23.981326,1,2.060272
-24.00918,1,2.082423
-21.320454,1,2.10691
-24.807022,1,2.130006
-19.315111,1,2.152281
-21.321158,1,2.174801
-24.79757,1,2.196618
-24.814553,1,2.221358
-21.317512,1,2.243071
-28.578052,1,2.264833
-19.314553,1,2.287411
-19.326388,1,2.31095
-24.802697,1,2.461181
-19.33357,1,2.493199
-19.345234,1,2.515868
-19.31899,1,2.540811
-24.814074,1,2.562623
-24.803453,1,2.584614
-21.308189,1,2.606733
-19.333088,1,2.628034
-28.584383,1,2.652491
-19.345991,1,2.675249
-21.331688,1,2.697252
-19.31083,1,2.720049
-22.233456,1,2.743764
-28.597036,1,2.766302
-19.321273,1,2.788533
-23.985313,1,2.810175
-21.308471,1,2.830657
-19.325554,1,2.855921
-21.320541,1,2.878081
-23.994839,1,2.901957
-19.348977,1,2.92369
-21.343024,1,2.947208
-24.001668,1,2.969399
-22.238104,1,2.991847
-19.326791,1,3.013526
-19.335678,1,3.035819
-28.577475,1,3.060197
-21.303352,1,3.081442
-24.797478,1,3.10429
-22.259135,1,3.126781
-24.835034,1,3.151213
-22.260474,1,3.173439
-19.328849,1,3.195196
-19.344568,1,3.218783
-24.811615,1,3.241421
-21.32221,1,3.264847
-28.569671,1,3.287
-24.819727,1,3.309829
-22.262628,1,3.332811
-23.995236,1,3.356742
-19.344321,1,3.378991
-19.321787,1,3.402155
-22.240668,1,3.42427
-21.343805,1,3.446945
-28.587736,1,3.47141
-21.307133,1,3.494621
-28.582166,1,3.517239
-19.322293,1,3.539087
-23.989529,1,3.564618
-21.319583,1,3.586244
-24.010764,1,3.608686
-19.33969,1,3.630406
-23.98303,1,3.652871
-22.247498,1,3.676657
-28.568043,1,3.699415
-19.345724,1,3.721618
-19.332032,1,3.744168
-23.986872,1,3.76977
-23.995387,1,3.791889
-24.826622,1,3.814109
-23.993532,1,3.836227
-23.981559,1,3.858308
-21.313,1,3.882763
-19.316376,1,3.904972
-24.826571,1,3.927516
-19.319978,1,3.949924
-21.315384,1,3.973975
-23.987575,1,3.996531
-24.007423,1,4.019477
-22.237469,1,4.041978
-23.986543,1,4.064264
-24.838755,1,4.088391
-19.317034,1,4.110576
-22.26652,1,4.133562
-23.982973,1,4.155615
-28.566675,1,4.179626
-19.324668,1,4.201976
-19.31025,1,4.22322
-21.295843,1,4.245325
-19.325119,1,4.267174
-19.329387,1,4.291858
-19.345462,1,4.315015
-28.582652,1,4.337629
-24.806076,1,4.359908
-21.294129,1,4.383918
-21.294684,1,4.406535
-19.334487,1,4.428877
-24.816018,1,4.451307
-22.250198,1,4.47416
-24.834453,1,4.498996
-22.249224,1,4.521099
-19.327092,1,4.543256
-24.821034,1,4.565632
-24.813676,1,4.589167
-22.262774,1,4.612123
-23.988915,1,4.635309
-23.997715,1,4.658189
-21.334488,1,4.681268
-28.593316,1,4.705222
-28.585666,1,4.72723
-22.249447,1,4.874392
-19.32565,1,4.89904
-22.265476,1,4.921586
-28.597635,1,4.944448
-19.318959,1,4.967449
-28.589137,1,4.989851
-22.262731,1,5.014182
-21.320399,1,5.035999
-23.996494,1,5.057017
-24.838801,1,5.080297
-24.010298,1,5.105654
-23.997153,1,5.127344
-24.818232,1,5.150251
-28.585006,1,5.172971
-19.325539,1,5.194081
-24.002129,1,5.2184
-28.593261,1,5.240405
-28.582582,1,5.263332
-19.32614,1,5.286408
-24.826507,1,5.311013
-28.596872,1,5.331941
-22.244399,1,5.354186
-21.305082,1,5.377044
-22.241446,1,5.3994
-19.321102,1,5.423366
-19.34169,1,5.445683
-22.259317,1,5.468662
-24.820778,1,5.491616
-28.596952,1,5.514925
-24.812188,1,5.536933
-21.318878,1,5.559018
-24.010862,1,5.581814
-28.579478,1,5.604805
-24.83529,1,5.628183
-22.236375,1,5.650252
-28.569321,1,5.673314
-24.824598,1,5.695969
-23.995037,1,5.720301
-19.34916,1,5.742742
-19.340763,1,5.765526
-23.998337,1,5.78792
-22.252216,1,5.81191
-24.836767,1,5.834547
-24.819988,1,5.856955
-23.98946,1,5.879938
-24.821004,1,5.902926
-19.324709,1,5.927536
-21.319928,1,5.949681
-23.985034,1,5.973123
-24.81628,1,5.994639
-28.585147,1,6.019303
-22.247148,1,6.042372
-24.827199,1,6.065215
-24.820022,1,6.088331
-19.344981,1,6.110503
-28.579617,1,6.133603
-22.246885,1,6.154773
-24.835735,1,6.176836
-19.335484,1,6.199339
-23.978388,1,6.221419
-21.337238,1,6.245302
-22.264187,1,6.26774
-19.317177,1,6.290454
-19.324143,1,6.312632
-19.347301,1,6.336339
-28.585457,1,6.357651
-21.324581,1,6.379844
-23.992871,1,6.402218
-19.332445,1,6.424505
-23.994154,1,6.449255
-22.248883,1,6.4718
-23.995504,1,6.494694
-23.994232,1,6.516914
-19.30693,1,6.540977
-22.233023,1,6.563737
-24.820629,1,6.586758
-28.590479,1,6.609066
-24.800022,1,6.634117
-24.798425,1,6.656835
-21.297107,1,6.679163
-22.253682,1,6.701996
-19.346696,1,6.72466
-23.99247,1,6.749309
-23.99292,1,6.771035
-19.32845,1,6.794077
-19.334578,1,6.817011
-23.977603,1,6.841766
-28.579319,1,6.864139
-19.340579,1,6.88816
-24.006969,1,6.910117
-23.997823,1,6.932192
-24.000555,1,6.956382
-19.341649,1,6.987297
-19.324993,1,7.009528
-21.303965,1,7.031576
-19.324194,1,7.054474
-19.329866,1,7.077288
-23.98856,1,7.099209
-23.989599,1,7.121974
-24.818558,1,7.14631
-21.29867,1,7.292542
-23.992911,1,7.314391
-19.321976,1,7.337164
-22.232484,1,7.361401
-24.807427,1,7.384183
-22.252416,1,7.40624
-19.321456,1,7.427732
-23.997853,1,7.453425
-19.343839,1,7.476607
-21.296744,1,7.498535
-28.59631,1,7.520875
-22.245841,1,7.543045
-19.32876,1,7.567536
-21.308214,1,7.589652
-21.337769,1,7.612421
-23.987345,1,7.635752
-19.342934,1,7.659782
-28.595996,1,7.681044
-24.810418,1,7.703975
-19.340902,1,7.72608
-21.338362,1,7.74792
-19.330246,1,7.770809
-19.321835,1,7.793851
-28.584153,1,7.816777
-19.330793,1,7.838793
-23.994677,1,7.862831
-28.578373,1,7.885311
-19.309221,1,7.907529
-24.838785,1,7.929544
-19.348401,1,7.951696
-19.316276,1,7.976259
-23.986998,1,7.997994
-19.301152,1,8.019298
-23.986603,1,8.042086
-23.999163,1,8.066924
-19.348467,1,8.089043
-21.330779,1,8.110953
-28.582792,1,8.133469
-22.232348,1,8.155379
-19.328474,1,8.178731
-28.586215,1,8.200694
-22.246898,1,8.223011
-24.815285,1,8.244684
-24.009531,1,8.268584
-23.98624,1,8.291178
-24.808038,1,8.313448
-22.247776,1,8.335311
-21.325446,1,8.357136
-22.25154,1,8.381395
-19.317307,1,8.403274
-21.332461,1,8.424373
-22.246321,1,8.44675
-22.236842,1,8.471431
-24.827657,1,8.494422
-28.58628,1,8.517633
-28.581907,1,8.541319
-19.332699,1,8.562954
-24.816041,1,8.58845
-19.320113,1,8.610163
-24.004685,1,8.632544
-24.000557,1,8.655565
-21.318389,1,8.678999
-24.007912,1,8.70122
-28.581526,1,8.723489
-22.256948,1,8.744879
-19.323904,1,8.767465
-22.243168,1,8.79225
-24.835345,1,8.81522
-19.313359,1,8.838086
-23.99575,1,8.860628
-19.342054,1,8.881657
-21.318724,1,8.906099
-24.8317,1,8.928761
-22.254469,1,8.95181
-24.824467,1,8.97373
-24.820886,1,8.998384
-22.244789,1,9.021714
-19.338589,1,9.043793
-28.596895,1,9.066488
-24.815583,1,9.090429
-23.990727,1,9.11388
-23.984313,1,9.136694
-22.255722,1,9.159567
-23.999299,1,9.180753
-24.006106,1,9.204703
-19.319671,1,9.226919
-19.349105,1,9.250123
-28.580559,1,9.272628
-19.344938,1,9.297566
-28.579277,1,9.32024
-28.569269,1,9.341432
-28.587254,1,9.36292
-28.577785,1,9.38537
-24.817531,1,9.410905
-22.252945,1,9.433608
-19.346682,1,9.456489
-22.25503,1,9.478242
-19.326937,1,9.502456
-22.238118,1,9.524442
-23.993103,1,9.546745
