#{"t_start": 1750660598.1302404, "env_id": "None"}
r,l,t
-541.514704,91,0.094164
-8061.160095,500,0.574221
-7470.319992,500,1.059325
-192.488415,22,1.084415
-1477.513804,162,1.24429
-600.649236,85,1.330723
-7450.634075,500,1.814933
-279.772468,27,1.843721
-6736.432043,500,2.32335
-390.897825,49,2.371847
-6919.920557,500,2.850701
-877.080158,93,2.942016
-6044.665843,500,3.421371
-8594.147252,500,3.901258
-711.951517,96,3.999739
-7497.312055,500,4.480256
-6551.574348,500,4.957042
-9431.737012,500,5.435893
-7212.210835,500,5.914477
-4704.844762,415,6.313828
-294.160925,31,6.347156
-7231.097022,500,6.82952
-858.222916,96,6.92626
-8689.221582,500,7.407951
-4989.59962,500,7.886157
-139.064606,16,7.904204
-7748.768965,500,8.382255
-7132.2634,500,8.861582
-512.642293,54,8.914571
-2703.438481,264,9.169738
-950.393747,115,9.284248
-4963.876527,500,9.766743
-7589.701467,500,10.247936
-323.311939,48,10.298508
-1453.650371,234,10.524911
-4495.120727,500,11.003824
-236.613363,31,11.035993
-8725.66173,500,11.517924
-4379.899403,500,12.016605
-158.588115,23,12.044103
-304.632451,49,12.094352
-957.314909,123,12.215641
-59.750088,10,12.228515
-552.458651,54,12.282987
-7560.015204,500,12.766728
-464.19336,57,12.824964
-2373.413357,227,13.042895
-7475.258781,500,13.525931
-1028.230369,114,13.64379
-234.408,25,13.671237
-416.190353,57,13.732952
-6848.4611,500,14.215827
-3078.13279,278,14.489223
-245.404287,24,14.51519
-1521.813251,150,14.663537
-7560.237559,500,15.148405
-4734.76862,500,15.63161
-8086.722556,500,16.118603
-710.04527,93,16.211634
-5176.558223,500,16.705312
-6587.772313,500,17.193681
-4515.330526,500,17.676678
-9037.030322,500,18.165021
-9857.341261,500,18.648988
-5860.54496,500,19.132784
-246.398487,29,19.163186
-1662.366944,171,19.33293
-542.191896,49,19.383504
-1643.983826,172,19.555971
-5517.683472,418,19.967152
-6027.8869,500,20.451242
-1900.943529,211,20.656925
-7936.625616,500,21.137951
-5053.355033,500,21.623723
-404.653922,36,21.660949
-360.120363,40,21.703824
-717.825955,88,21.791343
-5273.908425,500,22.274305
-5832.354221,500,22.758836
-141.644689,21,22.78222
-9787.878301,500,23.275112
-10070.617937,500,23.764959
-979.187106,108,23.872601
-258.44313,22,23.897095
-7408.786568,500,24.400161
-7503.604179,500,24.906066
-553.908598,82,24.994228
-7054.098253,500,25.485172
-7673.736455,500,25.97496
-6919.99514,500,26.475543
-145.629846,17,26.49592
-459.825375,55,26.555154
-460.638234,55,26.614417
-894.336209,85,26.703176
-2163.698494,218,26.920673
-448.752143,54,26.976234
-4930.014765,500,27.472349
-6120.274358,500,27.96186
-1598.261136,167,28.131871
-7005.797554,500,28.630284
-9090.964536,500,29.185573
-8090.621586,500,29.672915
-993.943274,85,29.758696
-4802.068763,500,30.245457
-5381.805622,500,30.733761
-5580.987166,500,31.221375
-1689.532316,163,31.384551
-411.914055,38,31.424148
-7968.465415,500,31.917491
-7183.80557,500,32.406309
-347.002514,41,32.448489
-422.660749,70,32.520866
-6605.884159,500,33.021509
-7099.283724,500,33.506936
-7099.683349,500,33.98183
-6453.938578,500,34.460894
-7277.761575,500,34.932827
-327.057409,39,34.974847
-8159.3843,500,35.450116
-5843.98255,500,35.926932
-6167.596654,500,36.406255
-502.927519,59,36.464509
-8191.127618,500,36.946411
-143.455537,19,36.968076
-339.98389,36,37.005796
-9768.491935,500,37.482017
-190.31386,25,37.511216
-7154.082959,500,37.985194
-5689.928666,387,38.352269
-150.328158,15,38.369339
-6475.183561,500,38.844129
-9327.356077,500,39.323831
-805.187723,90,39.414839
-7476.254542,500,39.897913
-7298.5791,500,40.374728
-568.353603,73,40.444481
-4876.094841,500,40.919338
-260.877495,28,40.950582
-4826.241399,500,41.432624
-425.691763,45,41.479847
-4984.056879,500,41.957969
-8248.954487,500,42.432542
-178.991605,15,42.449898
-7108.324206,500,42.930652
-8780.207059,500,43.427164
-1108.902348,97,43.525508
-5531.597968,500,44.023336
-7839.689356,500,44.517275
-489.25088,53,44.573403
-506.709584,61,44.638011
-6477.757513,500,45.137365
-5983.495879,500,45.635106
-576.878021,49,45.686277
-264.683921,29,45.716843
-479.417779,49,45.76819
-6261.833129,500,46.257503
-2821.599452,233,46.485855
-5271.151494,500,46.973959
-10654.008948,500,47.460445
-164.183663,26,47.489765
-6665.437543,500,47.975186
-7798.73636,500,48.462572
-1079.95363,137,48.600917
-6460.784214,500,49.106718
-3064.741986,276,49.378818
-433.161813,64,49.446086
-9906.17071,500,49.934234
-160.127668,17,49.954191
-1202.034315,132,50.086353
-10552.74934,500,50.571362
-5863.11316,500,51.057037
-1653.624414,163,51.215085
-8406.344957,500,51.699253
-3159.01874,279,51.971635
-4700.411371,500,52.450805
-8042.975091,500,52.930597
-6445.404466,500,53.408731
-2758.24184,236,53.632855
-6941.666765,500,54.107363
-9168.321448,500,54.580009
-2323.276045,230,54.799484
-9289.750876,500,55.269743
-2566.2389,246,55.50207
-5870.27916,500,55.976448
-475.631543,44,56.023571
-214.81735,23,56.049135
-8133.115769,500,56.521866
-6592.870036,500,56.996348
-364.669417,38,57.036107
-419.738783,41,57.080805
-7608.432634,500,57.565635
-10017.19273,500,58.052925
-5586.015257,500,58.539567
-3663.513034,337,58.861812
-8575.690169,500,59.333784
-6447.880694,500,59.809115
-456.449728,68,59.876179
-992.641321,171,60.039286
