Episode,Reward,Length
301,-1038.8385,38
302,-1511.6204,52
303,-1148.5199,59
304,-1850.5693,79
305,-1621.916,69
306,-1898.2833,63
307,-1802.2036,73
308,-1818.6552,76
309,-2166.8184,76
310,-1229.1089,46
311,-2825.5935,116
312,-765.42615,27
313,-1217.0638,40
314,-2316.904,103
315,-1550.6473,66
316,-565.1142,25
317,-1120.1047,47
318,-1128.9337,46
319,-1812.6392,61
320,-1509.0894,58
321,-973.104,44
322,-800.57556,27
323,-5997.079,232
324,-2150.8335,82
325,-956.3827,35
326,-1638.3306,60
327,-2388.55,110
328,-1490.1561,68
329,-1511.6824,58
330,-2194.2698,78
331,-1120.9297,40
332,-12749.302,500
333,-1293.8088,58
334,-1331.6494,52
335,-2421.5212,87
336,-839.1886,30
337,-1022.90936,40
338,-1353.3909,53
339,-931.2179,35
340,-1188.3232,49
341,-13347.387,500
342,-670.1666,26
343,-733.7328,31
344,-14438.01,500
345,-639.8933,25
346,-1056.0359,55
347,-3240.0999,151
348,-1658.5256,63
349,-8056.0386,397
350,-1118.2936,40
351,-1076.289,36
352,-13262.979,500
353,-685.028,24
354,-12755.36,500
355,-2938.07,128
356,-908.2642,41
357,-1456.4796,64
358,-723.8629,33
359,-1012.485,40
360,-1131.3103,45
361,-1040.8989,36
362,-1017.52057,51
363,-605.22784,22
364,-1601.3176,60
365,-1003.15356,40
366,-1417.7118,52
367,-2543.8345,89
368,-4234.083,156
369,-872.568,46
370,-1192.4043,47
371,-1372.4033,61
372,-1037.413,36
373,-806.8529,40
374,-990.67395,43
375,-1610.4009,62
376,-3141.2048,110
377,-793.96014,33
378,-1001.3901,37
379,-1952.7772,95
380,-993.19836,42
381,-3217.4731,141
382,-835.4143,36
383,-1568.4637,58
384,-1177.0398,40
385,-1748.8838,60
386,-800.80273,26
387,-940.5685,31
388,-511.04718,28
389,-467.5412,16
390,-1398.9242,48
391,-1723.6195,59
392,-735.9807,30
393,-1207.7842,50
394,-2533.523,95
395,-995.40405,36
396,-1704.2666,65
397,-856.5672,35
398,-2198.6663,81
399,-2763.1243,123
400,-10364.697,500
401,-14357.803,500
402,-790.23846,29
403,-965.99225,37
404,-1942.5387,78
405,-999.3882,38
406,-556.4339,18
407,-869.2321,34
408,-1209.3663,47
409,-13798.005,500
410,-837.6377,29
411,-1106.346,48
412,-1334.3639,47
413,-1332.3748,53
414,-581.65,22
415,-4220.134,177
416,-1030.5139,48
417,-11867.932,500
418,-1002.54004,40
419,-909.39813,43
420,-828.7151,35
421,-1406.9956,58
422,-1509.4133,74
423,-494.90253,18
424,-1196.0251,62
425,-1936.0739,96
426,-1062.6025,38
427,-1033.8356,42
428,-1503.5574,52
429,-764.2844,28
430,-490.2792,16
431,-595.8312,24
432,-456.8141,15
433,-916.11566,42
434,-1016.9226,37
435,-640.4638,26
436,-1260.9775,44
437,-1431.292,49
438,-946.34705,40
439,-1799.9668,79
440,-960.18414,33
441,-1363.4332,46
442,-1214.7562,48
443,-1553.4292,61
444,-1641.6355,73
445,-2134.58,88
446,-1729.9266,60
447,-682.697,35
448,-1165.693,39
449,-2639.1887,123
450,-1913.3887,80
451,-693.0255,26
452,-936.5612,36
453,-827.06555,32
454,-673.0103,21
455,-842.0666,36
456,-1135.235,44
457,-418.3678,16
458,-1643.0863,69
459,-936.02515,40
460,-1540.275,63
461,-994.32983,34
462,-1625.9543,63
463,-749.7077,41
464,-1079.0671,40
465,-1310.0215,49
466,-626.51654,26
467,-853.07697,35
468,-1921.3805,66
469,-14384.276,500
470,-669.70447,30
471,-1173.6277,43
472,-2940.356,104
