#{"t_start": 1750636327.9714198, "env_id": "None"}
r,l,t
-17.431504,25,1.530636
-27.490826,41,2.276669
-13.152679,16,2.561392
-20.86901,43,3.316002
-20.049925,38,3.93395
-18.764347,26,4.358922
-64.411264,117,6.508307
-70.292384,173,9.353169
-30.693687,53,10.39597
-25.362663,50,11.207724
-19.040469,33,11.744672
-29.919688,75,12.953818
-25.3316,36,13.539696
-14.281741,25,13.943873
-47.981212,94,15.665637
-24.073519,34,16.233536
-22.304864,46,16.983419
-23.536249,57,17.908138
-15.256199,28,18.366356
-32.638072,64,19.605583
-20.368417,34,20.166893
-10.64634,28,20.626049
-22.92517,42,21.30919
-13.4532,21,21.642682
-10.320887,18,21.932151
-11.358545,16,22.198051
-15.438917,28,22.652925
-22.405606,47,23.594938
-35.590181,83,24.962081
-27.707516,63,26.00613
-17.661265,29,26.488518
-21.848778,48,27.283967
-7.976671,23,27.847662
-17.453798,38,28.46923
-25.279392,38,29.101944
-15.156733,22,29.464572
-14.186014,24,29.852073
-37.637712,58,30.80622
-31.140579,52,31.661525
-16.584572,32,32.368623
-16.06941,26,32.783093
-13.347987,27,33.229098
-15.96296,27,33.674007
-14.835594,22,34.053308
-37.984703,59,35.023278
-22.288003,44,35.768786
-12.605792,33,36.495661
-36.744681,60,37.479232
-8.047678,26,37.906451
-21.664073,29,38.38107
-19.643783,32,38.906094
-72.144741,193,42.296743
-15.175686,31,42.81216
-12.566527,20,43.139013
-10.545461,17,43.426216
-23.414283,59,44.408028
-14.887714,28,44.884606
-11.906194,21,45.490081
-12.244886,15,45.728964
-11.981027,16,45.99142
-54.612263,144,48.375343
-18.342338,31,48.887268
-12.491443,14,49.117638
-14.115393,24,49.51975
-15.354336,25,50.11529
-5.833813,21,50.460952
-18.490328,32,50.989966
-12.077849,20,51.326053
-17.547464,33,51.869017
-16.820442,35,52.444388
-11.812725,16,52.709202
-22.735208,52,53.577862
-10.582967,17,53.867815
-10.296711,13,54.261609
-11.543835,21,54.610767
-17.912834,27,55.063822
-10.136973,16,55.334892
-12.631411,24,55.742353
-13.903114,20,56.078426
-12.637655,24,56.475019
-14.441306,25,56.886209
-15.244055,20,57.217894
-12.802773,19,57.532867
-12.407054,24,57.923382
-20.936537,33,58.656994
-12.93867,24,59.053427
-24.979512,40,59.709046
-18.620798,39,60.364806
-27.932751,44,61.096633
-11.239523,17,61.385812
-11.479836,23,61.76533
-15.144361,21,62.118022
-19.591384,30,62.614089
