#{"t_start": 1750636327.971273, "env_id": "None"}
r,l,t
-44.687053,119,3.220139
-36.228089,80,4.522923
-15.753398,39,5.173056
-19.757569,36,5.989265
-11.908893,24,6.382647
-14.006974,28,6.837498
-26.746662,47,7.61689
-28.721842,69,8.751245
-21.138277,30,9.24094
-93.02158,263,13.692028
-57.920478,126,15.938196
-25.242433,41,16.608964
-17.45353,24,17.003946
-15.496071,20,17.331899
-12.4582,19,17.634384
-20.967205,31,18.144546
-30.467276,49,19.13819
-23.895929,56,20.055182
-32.363372,54,20.935573
-28.362799,66,21.99671
-12.686068,22,22.362357
-20.165474,44,23.256639
-21.968027,38,23.872916
-14.48736,30,24.369973
-32.218629,56,25.294483
-19.845307,52,26.162328
-22.287946,47,26.937427
-26.200644,49,27.937339
-14.966372,29,28.406687
-23.91262,41,29.089174
-13.437225,25,29.496879
-13.842734,28,29.955115
-24.232148,67,31.055799
-28.361141,61,32.241384
-26.282351,51,33.066474
-21.808492,31,33.574959
-27.637339,45,34.341082
-26.722056,73,35.547977
-15.351548,20,35.889301
-18.352601,37,36.681703
-23.014202,37,37.28296
-17.775625,30,37.779993
-5.402594,17,38.055486
-19.044795,39,38.693431
-18.517286,34,39.253093
-21.322011,37,39.88895
-30.397087,50,40.894637
-10.585682,18,41.194512
-14.166986,27,41.632767
-10.733801,15,41.884521
-12.53021,15,42.133994
-17.239642,21,42.484445
-13.162589,30,42.978321
-11.463342,18,43.280788
-14.018855,22,43.643792
-35.223111,58,44.615469
-25.15191,33,45.428145
-11.029712,19,45.729002
-11.94646,19,46.040551
-14.429758,30,46.537371
-19.092673,34,47.103841
-13.107381,24,47.494959
-15.978966,31,48.011293
-9.896734,16,48.276696
-16.068196,21,48.62723
-19.531594,30,49.123814
-11.137993,18,49.424792
-14.606672,26,50.033038
-30.595795,74,51.264266
-13.153322,16,51.520195
-20.620181,29,52.007589
-21.014495,37,52.611006
-17.578184,24,53.017078
-18.241702,24,53.414891
-17.907002,39,54.244961
-15.373324,23,54.63401
-11.66075,17,54.915021
-15.662285,24,55.322149
-13.683918,19,55.646698
-11.023554,17,55.926904
-25.404536,55,56.83704
-13.011932,24,57.235482
-20.680597,30,57.727301
-16.557922,25,58.150351
-10.797601,14,58.37806
-32.399184,45,59.29937
-12.354413,15,59.546025
-25.666478,44,60.28022
-9.487052,12,60.489238
-14.939354,27,60.931974
-15.665199,20,61.266552
-11.573602,15,61.522885
-25.981026,57,62.47298
-11.055548,15,62.71738
-10.710617,14,63.136339
-11.243688,16,63.402307
-12.995892,23,63.787282
-12.273947,23,64.176669
-10.50951,14,64.411146
-22.209606,30,64.903237
-16.947212,24,65.300195
-16.823506,25,65.728704
-18.092975,27,66.167203
-23.724765,32,66.698233
-17.520507,23,67.086238
-9.40717,12,67.292233
-15.112781,21,67.814691
-8.736772,11,68.003607
-11.730152,20,68.339692
-17.950741,26,68.773318
-9.841155,13,68.983823
-14.867096,21,69.333768
-11.012505,15,69.58599
-10.957511,17,69.869821
-10.945624,16,70.130407
-10.040241,14,70.361651
-14.825401,18,70.656682
-16.328769,25,71.076108
-16.135494,19,71.401177
-15.885116,25,71.991496
-14.71823,25,72.409972
-13.417849,20,72.733217
-14.316985,23,73.115321
-15.808582,25,73.52124
-10.050272,12,73.730587
-12.498609,15,73.979436
-10.654058,19,74.296117
-14.762624,18,74.594898
-15.3776,23,74.979846
-11.030331,19,75.296314
-12.171521,15,75.54339
-14.51733,22,75.909523
-9.855053,15,76.169649
-9.481817,12,76.549755
-20.428345,33,77.107849
-11.237989,13,77.329646
-10.47818,11,77.510438
-16.532964,22,77.877752
-13.575659,20,78.209516
-10.406866,18,78.504685
-16.849834,23,78.886282
-11.834968,24,79.280265
-12.04984,14,79.514079
-17.086996,26,79.94189
-16.421411,26,80.375179
-23.803944,58,81.522719
-9.640779,13,81.740653
-11.406775,21,82.087118
-6.075996,24,82.491467
-9.805221,12,82.698805
-14.62874,25,83.117437
-9.237471,12,83.325211
-9.846909,15,83.578272
-11.775049,13,83.792797
-5.877273,20,84.127222
-13.848001,28,84.600501
-10.137612,14,84.833275
-10.138343,13,85.04892
-18.313256,28,85.701632
-11.204847,16,85.97462
-8.916515,12,86.173012
-14.698857,21,86.522914
-14.204083,25,86.934675
-21.025213,35,87.519592
-16.025315,24,87.90498
-10.98526,18,88.207699
-13.315979,17,88.491407
-18.800357,29,88.956747
-15.404688,22,89.326027
-11.541144,24,89.907833
-13.096251,16,90.169218
-11.162812,12,90.371925
-10.366278,14,90.60386
-11.765084,13,90.822638
-17.380778,27,91.270004
-9.679894,14,91.498921
-9.588389,13,91.722076
-12.786196,17,92.000191
-11.566982,13,92.221507
-10.103552,12,92.425765
-13.172146,18,92.724808
-9.314424,11,92.903785
-11.513457,18,93.203699
-8.879319,11,93.38209
-10.092193,15,93.638453
-10.897781,16,93.906699
-19.150992,28,94.552052
-9.834312,13,94.7791
-9.828226,13,94.992175
-12.003297,16,95.26606
-10.134737,20,95.611187
-12.004147,14,95.853949
-10.604941,14,96.086299
-14.497063,22,96.453928
-17.623981,22,96.824711
-11.299022,13,97.042806
-10.071365,19,97.359978
-10.893763,14,97.588248
-10.3376,17,97.866727
-13.630568,25,98.286104
-12.73975,17,98.749349
-10.572151,16,99.021479
-10.093714,16,99.332374
-12.701349,28,99.81517
-8.717773,13,100.035276
-15.031504,22,100.406631
-10.328565,12,100.625969
-10.959746,18,100.951428
-11.840943,20,101.284438
-11.121528,17,101.56724
-10.160759,15,101.821482
-24.342272,34,102.413205
-9.43938,11,102.591013
-9.870785,11,102.78444
-14.868314,20,103.312812
-16.798149,26,103.748614
-16.27508,26,104.188806
-9.815474,17,104.475489
-12.954871,14,104.707934
-13.078081,20,105.04545
-11.715574,19,105.363154
-11.064109,18,105.666151
-14.182271,22,106.036469
-9.60099,12,106.250436
-14.438988,23,106.637321
-9.331806,11,106.819943
-9.908201,16,107.086814
-8.849615,11,107.275395
-9.57207,12,107.473325
-9.24874,11,107.835183
-13.949256,22,108.194168
-11.608369,17,108.475521
-9.844571,12,108.678974
-11.044619,12,108.880789
-14.432304,21,109.236165
-9.536346,11,109.410198
-11.933371,16,109.6804
-16.027661,25,110.10297
-9.630303,17,110.38785
-12.421441,16,110.654158
-9.191684,11,110.832964
-8.776801,11,111.024371
-10.489839,18,111.321967
-14.641924,18,111.633337
-9.132214,11,111.808892
-10.058438,13,112.210929
-11.167064,16,112.472077
-13.162304,16,112.73901
-21.856536,30,113.245646
-4.213736,14,113.476444
-8.93941,12,113.677687
-10.742372,11,113.865087
-11.761653,18,114.165534
-11.473272,16,114.432464
-12.372851,18,114.739734
-10.530229,15,114.980131
-11.21693,15,115.234984
-11.500365,21,115.582978
-10.884251,17,115.870754
-12.797887,15,116.123498
-10.678255,15,116.378455
-11.772834,15,116.808261
-11.022113,21,117.16632
-14.180501,20,117.493096
-10.686548,17,117.773261
-11.312919,16,118.043073
-11.740001,15,118.291397
-12.252196,17,118.575996
-10.417575,15,118.828393
-10.755116,11,119.024607
-11.388594,18,119.335803
-9.180061,12,119.528882
-10.84,11,119.717387
-11.319705,14,119.95038
-15.387415,20,120.280487
-9.413772,11,120.46939
-8.772862,11,120.653149
-11.785474,17,120.931249
-13.687597,25,121.522114
-15.136412,22,121.892618
-18.558889,24,122.409417
-10.009794,10,122.576843
-13.461663,20,122.910821
-13.495153,19,123.228182
-9.031814,11,123.413
-20.081642,29,123.896344
-8.677747,11,124.087488
-10.008653,17,124.373252
-13.819034,16,124.633642
-17.375209,22,125.004282
-10.260282,17,125.287265
-8.9004,13,125.508476
-13.167771,15,125.940816
-5.33014,18,126.23852
-10.853168,11,126.428325
-18.326588,22,126.793842
-17.294674,22,127.163481
-11.013781,19,127.476131
-9.375323,13,127.697698
-11.178417,15,127.939744
-9.615888,12,128.15622
-9.366696,11,128.331884
-12.41351,17,128.615656
-11.336669,13,128.825443
-10.523945,11,129.013951
-11.713119,16,129.276772
-14.18788,21,129.631918
-11.310775,12,129.832378
-16.903343,25,130.424719
-16.572178,26,130.852835
-9.354288,11,131.037097
-9.71208,12,131.230734
-21.440864,50,132.069383
-10.928201,15,132.327428
-10.783293,23,132.711012
-15.838243,23,133.096438
-13.074185,15,133.349633
-8.8086,11,133.527489
-13.831575,20,133.866668
-9.676865,15,134.119585
-13.70635,19,134.610345
-15.2504,25,135.037953
-14.559779,26,135.477958
-4.334864,16,135.741949
-13.658014,20,136.071273
-12.858999,17,136.354639
-8.978816,12,136.549939
-4.123209,14,136.780194
-9.342867,12,136.97842
-10.640363,16,137.248573
-10.139038,12,137.44512
-9.455636,16,137.710308
-8.896093,12,137.919398
-10.676795,16,138.187582
-16.014767,19,138.507154
-3.845162,13,138.7296
-9.032386,14,139.143461
-10.889571,11,139.325426
-11.428487,12,139.532867
-9.095764,13,139.742553
-12.070287,20,140.076802
-10.337755,12,140.280892
-11.875559,15,140.530798
-12.328458,18,140.831855
-10.71941,11,141.012659
-12.956326,15,141.263581
-12.366527,17,141.558064
-12.9347,18,141.858189
-12.232318,14,142.092451
-12.920496,15,142.340923
-9.650278,11,142.530373
-14.312727,27,142.975866
-9.318421,13,143.189358
-11.699755,17,143.64139
-9.519119,13,143.857516
-9.464581,12,144.054213
-12.638667,18,144.354371
-14.600368,23,144.728426
-12.751677,14,144.96779
-12.870784,17,145.251034
-11.624555,23,145.631476
-9.295576,11,145.816571
-9.403087,11,146.003121
-10.684448,16,146.269103
-13.932284,19,146.574397
-10.967591,19,146.895082
-10.80109,12,147.099173
-9.082768,12,147.297524
-10.411586,16,147.562919
-11.363922,16,148.009656
-10.635486,11,148.187429
-4.680304,14,148.420519
-9.648116,16,148.687389
-9.392588,11,148.874774
-10.097723,10,149.035108
-10.273052,14,149.274772
-13.529921,18,149.568606
-12.354925,16,149.846115
-17.146727,25,150.261741
-11.571407,15,150.516041
-12.768776,14,150.74859
