#{"t_start": 1750636327.973158, "env_id": "None"}
r,l,t
-15.635453,30,1.614518
-34.783864,85,3.144256
-45.512294,126,5.217097
-26.247596,52,6.298476
-36.560519,51,7.131221
-18.056505,37,7.746105
-39.074295,97,9.335884
-60.553527,135,11.710215
-36.832796,104,13.391628
-24.366015,36,13.976084
-38.040937,91,15.647057
-38.398416,100,17.290721
-74.921226,209,20.900793
-42.512364,61,21.881814
-17.706039,24,22.278031
-39.223886,75,23.674746
-31.653094,51,24.512985
-10.549663,16,24.771209
-45.170224,83,26.154294
-16.29875,30,26.648955
-28.56991,63,27.879465
-24.79949,41,28.551622
-20.430768,41,29.230761
-57.783279,100,30.869885
-22.623924,40,31.530913
-29.552926,78,32.977533
-15.478696,31,33.491538
-26.542957,67,34.615956
-16.300451,20,34.938267
-17.266167,34,35.499109
-17.325815,33,36.064894
-17.519388,38,36.87418
-29.682746,48,37.658058
-13.587444,29,38.134528
-11.989937,18,38.427939
-25.687384,36,39.021
-12.501923,21,39.3648
-12.865538,23,39.760485
-14.027536,21,40.110075
-18.903448,29,40.584815
-25.769539,39,41.420606
-12.532912,17,41.696828
-12.322373,18,41.993847
-13.210415,17,42.276143
-17.000195,26,42.712929
-20.199719,32,43.238488
-6.096965,20,43.578076
-17.371281,30,44.07488
-15.42141,24,44.475591
-11.842354,20,44.814452
-13.678903,21,45.426805
-12.93579,19,45.7273
-15.757818,24,46.126127
-9.942414,14,46.355148
-12.591797,19,46.665694
-17.145596,23,47.042747
-12.415393,17,47.330117
-32.849824,45,48.075238
-14.665192,22,48.439226
-12.354676,17,48.720762
-18.566807,28,49.183523
-11.631702,22,49.735475
-23.614616,58,50.690412
-11.165086,17,50.971717
-15.10846,28,51.438294
-10.969356,16,51.698023
-13.708875,25,52.117463
-10.668788,18,52.410139
-13.359717,24,52.810403
-18.47604,30,53.307541
-19.015305,24,53.713334
-17.40356,23,54.276122
-12.062454,19,54.593023
-12.827911,16,54.857723
-19.414614,34,55.432484
-10.479876,16,55.70769
-12.3896,24,56.109956
-6.732791,23,56.489188
-14.224198,21,56.829144
-12.580667,15,57.0825
-13.226585,25,57.498701
-13.41492,21,57.837742
-24.06327,47,58.805644
-9.563329,14,59.035866
-14.4578,18,59.329376
-18.546401,31,59.846751
-11.509557,22,60.212769
-14.842893,25,60.630655
-10.916375,18,60.930214
-14.253157,22,61.301058
-11.909202,13,61.515345
-13.823662,24,61.915754
-15.961148,29,62.398413
-13.441938,18,62.691915
-17.779837,28,63.344438
-12.943733,23,63.72964
-9.210858,12,63.933109
-25.544868,35,64.521889
-12.882506,16,64.784587
-9.304214,14,65.018909
-9.526679,12,65.215782
-15.671881,28,65.68917
-12.23118,17,65.970457
-14.257128,20,66.302214
-13.875818,20,66.632387
-8.864884,12,66.829979
-12.7095,23,67.215172
-12.330495,15,67.647955
-14.208911,30,68.151115
-22.096182,35,68.730119
-9.880127,12,68.934501
-10.760164,11,69.110371
-16.494902,26,69.545103
-8.79221,11,69.72303
-9.661463,13,69.946483
-20.795781,28,70.41186
-17.111064,21,70.758053
-11.672902,13,70.970559
-12.106124,21,71.322206
-17.441125,31,72.022455
-12.272912,25,72.43717
-8.968039,12,72.63205
-18.469279,26,73.0658
-11.590231,23,73.438227
-16.400042,20,73.773858
-9.939374,15,74.025472
-10.414442,18,74.323898
-10.553655,18,74.622146
-13.123611,15,74.879493
-13.575213,16,75.144666
-20.720159,43,75.856994
-11.524949,20,76.377044
-10.085344,13,76.593759
-12.403006,18,76.896866
-9.899611,15,77.15037
-9.1986,12,77.358673
-10.27215,15,77.604595
-12.586134,15,77.852946
-10.716425,15,78.101534
-14.756626,21,78.450619
-9.475755,14,78.681858
-13.782651,20,79.01133
-13.996855,17,79.294834
-11.882833,18,79.593
-9.242248,11,79.775708
-10.50456,14,80.008757
-13.612658,22,80.373274
-10.760271,18,80.854483
-10.668262,13,81.069178
-10.567196,15,81.31892
-12.118721,25,81.739143
-11.061823,15,81.981065
-32.437335,48,82.791216
-14.349095,21,83.148602
-11.829672,18,83.450319
-13.365663,21,83.804027
-11.136984,21,84.15783
-11.170831,20,84.490833
-11.104699,19,84.814927
-20.735721,26,85.426455
-9.979612,15,85.676129
-9.441533,12,85.877393
-11.161237,13,86.100787
-9.87959,15,86.351002
-11.762477,13,86.570255
-12.871495,19,86.877025
-8.704787,11,87.062176
-6.670354,21,87.412601
-9.345511,14,87.644381
-9.138372,14,87.870467
-17.540689,38,88.502451
-12.482048,17,88.776793
-12.279757,17,89.054262
-14.644881,18,89.353863
-14.357887,21,89.890578
-16.376905,20,90.215843
-11.865257,15,90.463598
-9.602234,13,90.679761
-9.636467,12,90.881649
-8.503022,11,91.06774
-13.817054,20,91.397181
-12.075936,18,91.697447
-9.672249,12,91.897989
-9.200508,12,92.106605
-9.227703,15,92.352355
-20.068619,25,92.768246
-11.761453,16,93.034388
-10.386078,14,93.26594
-10.821774,11,93.446988
-10.498393,11,93.62974
-14.36925,21,94.164975
-13.298797,19,94.484398
-13.047845,38,95.124496
-12.293579,18,95.427022
-11.654693,24,95.845065
-20.057108,27,96.303256
-9.605552,12,96.500953
-11.385501,20,96.836112
-14.028292,19,97.152475
-13.459302,19,97.469867
-9.633297,11,97.649152
-9.117097,11,97.832705
-10.478359,19,98.140647
-10.142598,13,98.36125
-13.338438,20,98.879117
-9.851116,15,99.166424
-14.270327,21,99.540026
-13.180598,19,99.859753
-23.295283,31,100.38167
-12.410201,18,100.718211
-10.113885,10,100.895084
-9.581447,13,101.118582
-8.696115,11,101.299877
-13.078669,19,101.615731
-12.312065,14,101.853236
-8.560712,10,102.027148
-12.135114,16,102.310966
-10.295109,14,102.540917
-12.330791,17,102.828492
-11.584208,19,103.340976
-18.777244,24,103.745631
-8.615238,11,103.93408
-10.119695,15,104.18735
-10.701732,11,104.368548
-10.886928,12,104.567082
-12.319114,14,104.806418
-9.065287,14,105.043169
-10.261703,13,105.261324
-9.003835,11,105.444434
-9.630983,13,105.657714
-12.256502,21,106.007267
-12.966944,18,106.328141
-9.19712,12,106.52772
-11.153788,12,106.732457
-8.589314,11,106.915884
-9.788506,12,107.117124
-9.307685,12,107.319406
-3.955406,14,107.727406
-8.315026,10,107.893952
-13.490325,18,108.192472
-13.003688,15,108.440663
-11.38627,14,108.669976
-4.094379,14,108.908492
-12.718317,15,109.163043
-8.809229,11,109.343747
-9.288296,11,109.525313
-15.385455,18,109.82468
-4.599242,17,110.114261
-9.12968,12,110.313859
-11.787693,15,110.562978
-9.25201,12,110.764291
-15.239683,22,111.135232
-12.784511,20,111.477808
-15.877363,18,111.77405
-8.708765,11,111.961188
-13.997301,21,112.489328
-9.850815,16,112.753688
-10.099154,20,113.090447
-10.55155,11,113.273383
-13.886221,23,113.659208
-8.976526,12,113.855606
-11.398837,14,114.092129
-8.850137,11,114.281623
-4.045592,13,114.496418
-5.129254,16,114.766755
-11.886051,15,115.010149
-4.793293,18,115.310348
-8.89487,11,115.492808
-5.622795,18,115.796574
-11.169595,12,116.003393
-10.613301,22,116.369778
-10.9115,12,116.757243
-12.733257,15,117.006633
-11.147532,12,117.210661
-15.080842,25,117.623489
-12.659054,20,117.959487
-13.634519,18,118.256628
-11.548119,20,118.589941
-16.826242,28,119.068778
-12.593911,14,119.309803
-5.543414,21,119.659339
-11.226318,13,119.879689
-13.50125,21,120.227344
-10.910821,15,120.480916
-10.31259,14,120.71263
-15.959524,24,121.286022
-15.256351,23,121.670989
-4.211038,15,121.922795
-10.94404,16,122.310669
-17.205474,22,122.675216
-13.80196,16,122.940874
-9.330589,11,123.121433
-9.947284,19,123.441157
-14.113999,21,123.792458
-15.968506,19,124.114418
-9.278757,11,124.298553
-4.838113,18,124.598713
-14.117212,21,124.947361
-11.340463,16,125.21275
-13.500597,16,125.47991
-9.589985,11,125.849997
-11.630133,15,126.102789
-14.877408,21,126.455114
-19.020716,24,126.858731
-3.784605,13,127.077138
-10.875823,14,127.30906
-10.197056,10,127.474102
-17.061906,27,127.921757
-11.493451,18,128.232881
-9.854086,12,128.428929
-13.635481,15,128.678535
-12.153992,14,128.908351
-11.799862,16,129.175523
-15.492688,19,129.493387
-9.840369,14,129.725717
-13.161594,21,130.246527
-14.511498,23,130.633842
-9.054448,12,130.835074
-11.66862,19,131.148341
-13.886874,22,131.50557
-12.330226,24,131.908946
-21.561817,29,132.404839
-10.680682,11,132.588955
-15.359319,25,133.002803
-10.711761,19,133.324736
-13.997084,16,133.594746
-13.541667,16,133.857957
-10.346252,11,134.047141
-4.383496,15,134.29832
-11.077475,15,134.726567
-8.49105,11,134.911512
-10.275208,11,135.099604
-10.006698,12,135.303213
-11.81919,13,135.525086
-8.941885,10,135.689925
-15.672868,22,136.052645
-11.348358,12,136.250368
-13.171315,27,136.697606
-9.788923,15,136.942608
-17.622484,23,137.325981
-15.450252,18,137.626357
-9.175498,11,137.814444
-10.313511,19,138.131183
-12.34614,18,138.434153
-12.708861,25,138.858192
-9.006494,12,139.235392
-9.918797,16,139.507669
-10.23416,12,139.707838
-8.684662,11,139.892066
-9.605815,16,140.159156
-10.630735,15,140.409198
-3.747807,13,140.623912
-12.235413,18,140.929201
-8.76593,11,141.106776
-12.824689,18,141.409282
-10.132866,16,141.683435
-10.948861,12,141.885837
-9.833959,12,142.086834
-3.735035,13,142.300615
-9.185555,11,142.489033
-9.702416,16,142.756793
-12.247824,18,143.050787
-10.976533,14,143.279949
-12.141639,13,143.668678
-9.974166,18,143.964748
-6.043507,19,144.279309
-4.812373,15,144.527579
-10.939107,13,144.742822
-13.815871,16,145.011267
-11.336591,19,145.327061
-10.346389,16,145.595982
-9.557414,12,145.793619
-10.202547,15,146.045519
-10.465363,13,146.261153
-12.366162,19,146.579807
-16.431981,24,146.974089
-12.685559,17,147.263458
-16.875263,21,147.614217
-9.782242,12,147.984431
-10.962868,15,148.234818
-10.203367,17,148.515737
-14.307983,17,148.803447
-12.492158,18,149.09752
-11.572298,15,149.352882
-16.833621,34,149.926922
-9.167063,15,150.172739
-11.406383,14,150.404633
-14.756362,17,150.68918
-11.85241,13,150.90752
-8.836044,12,151.110627
-8.863933,12,151.310005
-10.850889,15,151.562236
-9.984982,18,151.859765
-10.015393,17,152.158867
-11.223576,13,152.562917
-9.216548,11,152.747137
-15.34985,22,153.115943
-8.761262,11,153.3012
-12.656445,17,153.589136
-12.638967,16,153.85713
-11.759947,15,154.11234
-14.644935,20,154.459696
-11.737625,19,154.793409
-11.331472,14,155.027562
-13.374985,17,155.32097
-5.350801,16,155.595845
-8.907034,12,155.79859
-8.739582,11,155.978637
-10.064162,16,156.247592
-10.469528,13,156.457592
-9.201757,11,156.64268
-11.441086,20,157.15657
-16.879423,24,157.566108
-8.446982,11,157.749604
-9.49711,16,158.011674
-9.453077,11,158.196461
-9.243731,15,158.449857
-12.279755,22,158.814093
-3.921143,14,159.04663
-12.960667,18,159.346564
-16.547383,23,159.730586
-12.619775,18,160.032195
-8.486073,10,160.197117
-4.94359,15,160.448401
-13.045807,24,160.844666
-9.23873,11,161.028919
-9.27055,10,161.198292
-9.378966,11,161.561816
-5.071967,15,161.812557
-8.770395,11,162.001046
-10.891523,13,162.21725
-10.767105,20,162.57514
-10.016931,17,162.867712
-8.872022,14,163.105162
-10.171077,12,163.302243
-10.115191,16,163.565428
-9.599502,11,163.744185
-9.259991,11,163.933329
-10.263756,11,164.119653
-15.333451,18,164.424374
-11.603784,12,164.621125
-14.401436,21,164.988057
-9.435908,12,165.187628
-5.035002,15,165.446595
-12.573831,18,165.934063
-8.477438,10,166.106062
-10.430817,18,166.411945
-10.114981,13,166.627191
-9.457353,12,166.831565
-3.821801,13,167.048626
-12.090195,14,167.279736
-11.041821,21,167.63061
-9.755832,14,167.860176
-5.334803,17,168.144501
-9.055974,11,168.327343
-9.877525,15,168.578005
-14.817862,22,168.948014
-9.304522,15,169.199093
-10.79099,13,169.41786
-9.477862,12,169.619615
-13.375456,19,169.936246
-12.993906,16,170.376273
-10.627175,18,170.674368
-11.330896,14,170.910799
-10.392506,18,171.210913
-15.306386,25,171.627436
-10.936518,15,171.877858
-16.451611,21,172.230302
-11.834545,15,172.479351
-9.810937,13,172.694913
-9.250226,13,172.906962
-9.101135,11,173.093535
-14.096963,16,173.356939
-14.130405,16,173.628544
-12.203011,16,173.896454
-9.092359,10,174.062647
-5.017209,16,174.327127
-10.363246,16,174.596719
-9.795285,15,175.024796
-16.079235,20,175.358071
-14.914167,21,175.707426
-13.300154,18,176.009547
-9.443754,11,176.195757
-12.630516,18,176.500811
-10.509635,14,176.737711
-9.653904,12,176.940798
-9.61538,13,177.152211
-11.679991,13,177.369567
-11.156931,18,177.676235
-18.402058,31,178.203014
-11.876086,18,178.501018
-9.896675,13,178.721027
-10.922745,13,178.93264
-12.339737,14,179.343704
-9.279435,14,179.577821
-4.662692,16,179.851118
-9.104955,11,180.029925
-12.605194,18,180.328356
-9.303576,12,180.531971
-16.63662,27,180.985743
-10.039569,17,181.269869
-11.800137,16,181.538629
-9.229965,12,181.73397
-11.612144,12,181.933007
-7.008078,18,182.376203
-10.376975,11,182.560193
-11.202709,12,182.764378
-15.036017,24,183.162823
-4.457873,16,183.432803
-13.856307,20,183.947856
-9.180914,12,184.148432
-9.138196,12,184.353202
-9.319441,16,184.625178
-11.530872,16,184.905314
-4.742827,15,185.156734
-12.652248,18,185.460257
-8.045263,21,185.827645
-10.280561,17,186.117182
-8.829429,10,186.285207
-12.12248,16,186.549825
-16.556205,24,186.966778
-12.64266,17,187.253871
-4.930451,15,187.510019
-9.753636,17,187.79224
-9.548091,12,187.993128
-9.373974,11,188.176067
-5.373951,17,188.641394
-13.234754,21,188.997735
-12.606097,14,189.234935
-9.665178,12,189.431644
-8.693568,11,189.619261
-9.741881,16,189.880862
-15.021011,22,190.241817
-3.720099,13,190.465822
-14.157798,17,190.749433
-11.850117,21,191.100941
-9.8257,12,191.300789
-9.345058,12,191.500692
-13.120244,15,191.748589
-3.834994,13,191.964998
-8.965623,11,192.149538
-12.763211,18,192.460778
-4.793765,17,192.928585
-11.794274,16,193.199171
-11.927011,18,193.503728
-11.19876,12,193.700301
-4.733644,15,193.954037
-13.310283,16,194.225906
-10.677021,15,194.48064
-9.661127,13,194.697263
-11.660549,16,194.966483
-10.005207,14,195.217288
-8.854775,14,195.450167
-13.276756,17,195.734626
-9.246129,15,195.989599
-14.035272,18,196.290372
-12.39641,15,196.550014
-8.714981,11,196.730615
-15.991129,20,197.066845
-11.029195,18,197.552254
-16.311297,21,197.910632
-14.57967,22,198.281772
-7.559289,19,198.601017
-15.969048,33,199.154294
-13.919223,27,199.605358
-12.344185,18,199.906345
-11.023574,12,200.108601
-5.209944,17,200.39422
-13.811657,23,200.773925
-9.368577,11,200.954548
-10.560565,11,201.140268
-13.220891,16,201.410728
-12.050615,17,201.87452
-9.034215,12,202.081376
-9.018412,11,202.269773
-10.833151,15,202.52108
-3.96092,14,202.75959
-11.301141,17,203.038465
-10.488812,16,203.299663
-4.525362,15,203.550861
-11.649325,16,203.808655
-9.745437,16,204.06959
-9.612972,12,204.274418
-10.383574,16,204.548408
-8.992846,11,204.731054
-4.949171,15,204.984479
-4.966028,15,205.234714
-9.696761,12,205.435209
-8.908365,11,205.616962
-12.462146,18,205.923307
-8.884415,11,206.110247
-9.040218,12,206.482161
-9.695978,11,206.663239
-11.112609,18,206.961533
-12.53242,14,207.195972
-11.995334,18,207.489053
-13.118995,17,207.774038
-12.193677,13,207.993731
-11.814311,13,208.212915
-5.198905,17,208.492877
-9.230096,15,208.742648
-10.899404,11,208.92742
-11.702975,13,209.151065
-13.402553,17,209.43556
-10.402739,17,209.726176
-12.068182,15,209.979614
-4.138868,14,210.218561
-11.219721,14,210.454478
-8.647661,11,210.829418
-15.602757,43,211.653366
-8.998789,11,211.849113
-12.430193,17,212.141923
-9.959041,16,212.41532
-10.84516,16,212.688677
-11.086344,12,212.892059
-8.676088,11,213.083218
-10.966414,18,213.384357
-9.627495,13,213.60375
-14.453363,28,214.072836
-11.395981,12,214.277299
-9.306072,11,214.461259
-8.987438,11,214.649383
-13.36932,20,214.986109
-12.721577,22,215.542475
-11.0083,15,215.810162
-10.127757,14,216.046954
-11.400448,20,216.381764
-10.820367,11,216.564901
-9.38373,12,216.765873
-11.452516,13,216.984793
-9.142866,14,217.257892
-9.626855,17,217.546769
-12.566212,16,217.820521
-12.411295,18,218.113849
-18.177552,23,218.501562
-10.949732,13,218.718768
-9.356096,16,218.986953
-9.016408,11,219.172385
-13.008051,17,219.452779
-5.496336,17,219.742481
