#{"t_start": 1750636327.971288, "env_id": "None"}
r,l,t
-25.547789,45,1.870759
-13.728127,22,2.296328
-23.852184,43,3.062363
-42.771388,112,4.901645
-16.572279,33,5.477754
-25.622681,58,6.619387
-33.215888,67,7.731761
-24.367511,41,8.403296
-58.926191,120,10.54177
-27.542093,49,11.337296
-44.960482,133,13.490789
-28.017638,50,14.490361
-34.217098,92,16.003357
-16.171794,33,16.545723
-30.62073,54,17.425997
-23.873671,55,18.318066
-22.161166,54,19.393382
-31.632201,73,20.594624
-11.061156,18,20.884953
-20.926207,42,21.56198
-17.619618,25,21.964986
-28.498096,46,22.717219
-18.568572,29,23.368291
-18.66148,38,23.986594
-23.129188,35,24.562813
-12.164604,20,24.894259
-24.749922,50,25.725425
-31.19071,52,26.586324
-10.703271,15,26.832721
-25.910651,64,28.082818
-17.90263,24,28.469433
-29.370834,40,29.134586
-16.46451,24,29.529505
-26.75195,63,30.558196
-12.528116,20,30.887925
-25.633405,63,32.10777
-18.855656,48,32.882153
-20.118693,31,33.39561
-25.912708,68,34.536308
-19.05833,37,35.137808
-14.716382,18,35.43455
-25.152021,49,36.446392
-14.367987,31,36.959024
-46.596919,67,38.054467
-14.064426,21,38.397328
-12.866479,27,38.841451
-10.425573,15,39.089105
-13.597748,23,39.46814
-9.562636,12,39.671567
-16.301409,32,40.210183
-9.824765,13,40.423102
-11.334872,16,40.870276
-12.210783,13,41.090185
-17.593402,29,41.568841
-14.405279,20,41.898374
-16.318296,22,42.261567
-10.823609,19,42.579637
-17.969017,23,42.960789
-16.034414,24,43.3609
-32.09846,58,44.325128
-40.39473,79,45.893156
-13.431854,24,46.291441
-17.723086,22,46.65136
-15.434107,29,47.133704
-9.934067,15,47.381189
-18.759413,33,47.927616
-12.948383,22,48.293045
-9.91603,15,48.539656
-31.996221,68,49.852397
-13.790789,21,50.200227
-15.122006,21,50.544324
-16.412412,20,50.874104
-17.865518,34,51.439873
-21.799645,34,52.001202
-17.521668,24,52.395072
-10.243219,14,52.627451
-16.487325,28,53.096313
-35.86346,88,54.744955
-12.319989,15,54.99778
-11.248858,18,55.298206
-12.305523,21,55.659933
-15.978539,36,56.260828
-13.31337,17,56.539555
-11.520324,13,56.750594
-15.929175,25,57.170289
-12.883516,15,57.41525
-9.482437,13,57.631972
-14.365044,25,58.04184
-6.071799,22,58.590686
-10.08515,13,58.807634
-12.775774,24,59.199653
-9.204196,12,59.398305
-42.192659,71,60.583728
-17.601181,25,61.004333
-32.041079,43,61.716083
-13.667296,25,62.134622
-12.53107,15,62.383973
-16.054804,24,62.780345
-11.327541,15,63.213927
-9.184092,13,63.431738
-10.13021,16,63.698363
-13.177058,20,64.038576
-9.552648,12,64.241796
-13.473972,25,64.653729
-19.82652,33,65.201731
-13.447574,16,65.464735
-10.299798,14,65.706831
-9.824904,13,65.921045
-14.539071,30,66.421083
-11.281929,18,66.714399
-12.627677,19,67.03151
-13.39155,21,67.567199
-16.558146,25,67.980605
-6.786221,21,68.333394
-14.568554,18,68.635807
-12.385959,25,69.04872
-6.205094,21,69.395661
-12.871086,25,69.817074
-29.253934,42,70.511698
-12.640075,19,70.825743
-10.263732,14,71.056598
-11.118387,16,71.324041
-10.288908,17,71.609629
-10.681192,14,72.024252
-12.492438,14,72.256973
-11.787305,18,72.55158
-13.455755,22,72.914064
-12.22776,17,73.19605
-13.286345,18,73.489277
-21.996641,28,73.963597
-4.630533,17,74.239215
-12.556149,25,74.65657
-13.865948,20,74.995803
-11.919982,13,75.215877
-13.228824,20,75.536882
-14.652413,30,76.044746
-14.403559,29,76.718079
-11.500314,16,76.98253
-13.951722,23,77.377749
-15.523391,18,77.674344
-10.971972,15,77.92335
-24.264506,32,78.45304
-11.830622,18,78.746182
-17.913517,25,79.163451
-18.573238,39,79.810164
-16.178156,39,80.455651
-12.820787,19,80.953011
-10.009769,12,81.153186
-14.689639,17,81.44008
-9.970814,13,81.658469
-13.892663,26,82.087118
-9.67478,14,82.314498
-12.816923,19,82.638187
-10.537877,14,82.874342
-13.934376,27,83.338313
-13.434108,25,83.754021
-10.507166,16,84.02285
-13.715395,24,84.425505
-11.179838,14,84.6643
-9.845358,12,84.865579
-11.186912,17,85.331158
-18.133401,23,85.714693
-17.170704,27,86.16761
-8.732689,12,86.372542
-10.612539,18,86.670373
-16.349267,25,87.080363
-12.362421,19,87.398267
-9.678303,12,87.597281
-10.047274,15,87.840001
-16.593402,21,88.181777
-17.205494,23,88.568739
-11.832252,22,88.924175
-13.581514,19,89.238305
-14.278968,19,89.740252
-11.140057,12,89.940411
-11.455432,17,90.220993
-10.352094,18,90.518996
-9.974552,13,90.731659
-4.519377,16,91.001561
-11.41553,14,91.230323
-11.459603,13,91.449861
-16.961931,25,91.867621
-13.941275,20,92.203484
-15.355129,22,92.566968
-10.806413,17,92.854937
-13.226319,18,93.152428
-13.085424,15,93.401363
-9.907688,12,93.599047
-12.617399,17,93.883444
-8.995444,11,94.250152
-14.491207,19,94.571749
-9.123065,12,94.772162
-11.339276,13,94.991768
-12.1999,29,95.477723
-11.081505,19,95.811237
-12.179192,17,96.099588
-14.423647,22,96.470513
-16.133877,26,96.903923
-4.716384,16,97.174858
-9.461694,11,97.354227
-12.695142,15,97.60171
-17.223041,20,97.932929
-9.710809,12,98.126038
-12.517642,17,98.41162
-11.653027,13,98.817334
-10.262184,14,99.057109
-4.846637,18,99.402402
-9.503124,12,99.609867
-13.036371,17,99.898469
-9.085001,12,100.09734
-10.54628,11,100.283047
-14.957045,31,100.840051
-11.272755,14,101.088339
-11.47055,20,101.419168
-13.617212,26,101.854932
-11.054666,14,102.095953
-10.383659,17,102.3924
-10.07738,13,102.60721
-8.765837,12,102.813411
-5.467061,19,103.32613
-13.016441,23,103.712869
-14.852814,19,104.035957
-13.446752,16,104.305111
-9.595205,12,104.505117
-14.365069,22,104.881123
-15.517557,31,105.396473
-15.948501,22,105.762865
-11.559215,13,105.975995
-9.758971,12,106.197977
-10.593952,17,106.480067
-16.649905,20,106.813494
-8.985919,14,107.053287
-12.234965,21,107.40219
-11.014922,12,107.78307
-11.839769,17,108.06384
-15.132205,19,108.373607
-13.461769,18,108.671665
-15.310995,19,108.99748
-10.187794,12,109.197747
-14.179668,26,109.624948
-17.4749,22,109.997573
-14.192764,20,110.332186
-10.074602,16,110.598045
-11.47668,12,110.798627
-10.113657,13,111.018013
-9.772765,12,111.217236
-10.544697,11,111.406813
-13.777113,19,111.726839
-11.234537,13,111.946497
-10.869932,18,112.424
-11.825758,13,112.640946
-9.025835,12,112.841392
-13.081038,18,113.141856
-12.51175,18,113.443075
-10.71241,17,113.725491
-18.21891,23,114.110048
-8.89602,11,114.299809
-9.393811,14,114.531553
-9.503297,12,114.732541
-13.641115,17,115.011968
-12.099882,18,115.312202
-4.12944,14,115.543633
-10.221059,18,115.847743
-9.914754,18,116.152707
-12.792871,15,116.408024
-12.216581,18,116.890426
-9.877947,11,117.074907
-8.925987,12,117.284
-9.343263,11,117.460452
-11.968066,22,117.82058
-18.004816,27,118.274841
-13.42239,16,118.541966
-9.898272,18,118.846561
-11.187232,15,119.10674
-8.81987,11,119.290873
-4.668291,16,119.565041
-11.049527,21,119.915301
-10.487703,11,120.095739
-18.485134,27,120.546864
-11.091998,19,120.859888
-9.272793,12,121.237143
-9.117222,10,121.402644
-12.249341,15,121.653121
-8.601241,11,121.84058
-9.435487,13,122.137036
-3.914578,14,122.409851
-21.520502,29,122.894062
-13.728539,16,123.156486
-11.288761,12,123.355716
-10.71742,11,123.54481
-10.866317,11,123.729722
-9.848849,13,123.948578
-11.160714,17,124.236762
-9.278226,12,124.435983
-4.71826,17,124.717802
-14.742376,23,125.101306
-8.620021,11,125.287673
-15.513455,19,125.785287
-9.021391,12,125.987945
-10.390167,13,126.205839
-9.427569,12,126.40239
-11.799959,13,126.624269
-12.105366,26,127.062356
-9.216942,16,127.326842
-11.11919,12,127.525147
-14.899665,20,127.859248
-9.961654,19,128.18557
-9.651864,13,128.395776
-12.868303,17,128.681322
-11.599139,18,128.975273
-11.861804,20,129.309352
-10.645269,11,129.495462
-11.989288,15,129.743514
-8.961987,12,129.94615
-17.944624,21,130.469585
-10.711354,11,130.655044
-12.207725,16,130.917155
-14.17314,21,131.261946
-10.489271,14,131.492034
-9.158685,14,131.72816
-8.479319,12,131.92708
-10.782196,11,132.119285
-10.201454,13,132.341602
-12.70905,19,132.654963
-10.609387,17,132.939055
-10.15052,12,133.141964
-8.923958,11,133.327252
-16.459647,20,133.662336
-8.76751,12,133.860236
-9.727513,17,134.14877
-12.481192,14,134.384585
-9.652779,16,134.826742
-9.074749,11,135.015296
-5.138362,16,135.285521
-9.474298,13,135.507421
-9.121739,13,135.724482
-11.3989,21,136.070687
-17.296003,21,136.415286
-9.860114,12,136.614493
