#{"t_start": 1750636327.972878, "env_id": "None"}
r,l,t
-23.27099,43,1.835224
-48.915149,68,3.078289
-11.753091,20,3.416656
-14.650325,21,3.756868
-33.054629,46,4.504371
-17.408695,44,5.240105
-36.449273,91,6.947804
-18.712239,29,7.430368
-19.223219,29,7.911621
-91.459677,164,10.766621
-45.213779,108,12.521376
-91.907644,149,15.125873
-43.318417,96,16.70329
-45.119275,91,18.187923
-38.756818,96,19.950256
-18.164157,44,20.673776
-24.531747,55,21.559703
-19.263514,30,22.044915
-12.320992,20,22.376929
-19.286255,31,22.87691
-52.830216,110,24.859495
-18.582236,32,25.391918
-23.31868,54,26.292893
-22.946795,38,26.912662
-21.32181,38,27.730814
-20.755713,35,28.306849
-35.490397,52,29.165
-15.170172,20,29.495161
-17.994021,41,30.164321
-12.260653,24,30.557056
-17.761136,31,31.069591
-17.172788,47,32.02301
-13.525854,30,32.511402
-28.573378,53,33.377549
-12.707894,20,33.706156
-31.718758,83,35.087668
-20.671502,28,35.560419
-17.578185,46,36.510537
-18.002642,36,37.101724
-23.405229,44,37.82389
-18.86381,42,38.511774
-13.397313,19,38.823402
-18.336512,24,39.219343
-17.523619,28,39.688312
-25.930548,55,40.783174
-25.286554,43,41.502818
-10.313225,13,41.713192
-19.532761,29,42.193601
-10.118545,14,42.427529
-27.248382,47,43.207058
-10.44962,14,43.444384
-17.58734,25,43.856376
-12.608249,15,44.108243
-14.879364,26,44.541432
-34.268372,78,46.091127
-15.00828,24,46.486169
-10.914607,14,46.713523
-21.545918,27,47.165046
-11.653629,18,47.460612
-16.738447,21,47.811022
-18.718993,37,48.422166
-11.455892,19,48.737367
-15.104944,22,49.099861
-22.448108,53,50.166308
-15.781396,23,50.542688
-12.784923,17,50.821999
-10.49261,14,51.053433
-11.784378,23,51.438786
-26.32537,51,52.279456
-11.571445,13,52.495289
-10.305971,17,52.778824
-19.95396,31,53.290836
-16.313873,28,53.765439
-12.377101,14,54.176952
-13.246115,16,54.445932
-10.49887,16,54.711059
-14.515465,34,55.280002
-10.673373,20,55.62087
-14.544107,22,55.996241
-12.685428,16,56.259228
-11.399494,22,56.621349
-15.070211,20,56.949908
-14.231294,25,57.364277
-13.051603,28,57.822833
-15.76275,24,58.226142
-17.636997,30,58.902543
-15.335909,20,59.23435
-9.98405,13,59.44572
-15.373336,23,59.830621
-25.027971,39,60.48077
-12.616192,18,60.779375
-29.766212,41,61.466759
-14.803909,23,61.849276
-12.556423,22,62.218164
-12.971134,15,62.464914
-9.30712,12,62.659298
-8.679655,11,63.032265
-15.56249,21,63.377454
-19.668765,24,63.778673
-11.84514,17,64.07001
-12.427472,19,64.387018
-13.320545,38,65.019355
-11.413552,18,65.315075
-19.038508,24,65.721136
-16.299917,30,66.217309
-17.246131,23,66.600023
-10.720732,15,66.846479
-7.005233,24,67.248599
-13.516479,18,67.730349
-11.093482,12,67.932058
-13.978257,20,68.265808
-17.223627,28,68.730476
-4.937503,17,69.014371
-17.860953,29,69.493155
-15.286032,19,69.81239
-11.794032,18,70.111825
-20.551456,43,70.823755
-12.325438,21,71.171867
-18.324221,31,71.691108
-19.753264,26,72.305097
-10.27496,16,72.566279
-9.829463,13,72.780545
-10.522156,11,72.96083
-10.649929,15,73.210169
-10.024354,17,73.487717
-16.386507,20,73.824603
-9.995486,12,74.025439
-19.459029,35,74.605937
-11.678058,14,74.843085
-12.255541,23,75.230345
-4.911147,17,75.503579
-13.598946,18,75.806741
-19.06894,30,76.492416
-9.019416,12,76.700776
-15.694503,23,77.082248
-13.439906,18,77.391293
-11.204889,18,77.687998
-13.198239,16,77.955314
-11.49412,18,78.253041
-11.440241,12,78.451551
-9.873671,14,78.681688
-12.379472,14,78.913921
-9.458103,14,79.145639
-17.441352,27,79.592908
-10.497671,14,79.825926
-10.520823,13,80.041997
-10.147267,14,80.273334
-11.544299,21,80.805631
-9.8232,15,81.053492
-11.292162,21,81.404859
-10.792125,17,81.68939
-18.364177,28,82.150427
-10.986827,15,82.394825
-4.866331,16,82.674246
-9.138853,12,82.872518
-17.46889,27,83.336699
-11.104039,20,83.671652
-11.019526,20,84.004406
-14.19642,24,84.4069
-10.673969,11,84.591849
-9.362684,14,84.830746
-11.372401,13,85.047868
-9.177017,12,85.426302
-11.620977,14,85.658455
-15.03032,18,85.96618
-7.116838,24,86.37078
-9.361765,11,86.554499
-15.427122,22,86.910378
-22.952485,30,87.41288
-11.375512,20,87.74061
-11.321482,16,88.000255
-10.737202,15,88.25057
-11.091361,19,88.567902
-12.377532,24,88.954558
-9.517005,12,89.153166
-12.913213,16,89.42139
-4.893722,17,89.890621
-5.825203,19,90.199738
-14.093315,25,90.615918
-11.173203,18,90.914185
-20.670467,27,91.365289
-10.539527,18,91.664123
-11.232213,21,92.018117
-13.858057,21,92.372383
-9.887296,16,92.634109
-16.403688,22,93.001667
-10.823215,14,93.234266
-9.370282,12,93.431504
-16.751666,27,93.881232
-11.067194,12,94.265621
-13.450667,18,94.570305
-9.801774,18,94.875546
-12.201981,23,95.257593
-13.938164,22,95.641169
-13.690397,17,95.930604
-13.590828,21,96.28705
-10.130567,13,96.501125
-8.872276,13,96.719572
-9.863678,14,96.950624
-14.812066,23,97.332333
-9.715319,13,97.548359
-16.572174,24,97.947385
-10.790384,12,98.140961
-13.75555,19,98.646414
-15.431978,24,99.051213
-10.714871,15,99.34861
-11.523095,15,99.608184
-8.376954,11,99.792785
-13.436648,21,100.144822
-10.784858,18,100.453732
-9.229418,12,100.674287
-17.329398,26,101.135762
-12.863921,17,101.41675
-16.956469,26,101.853718
-18.020714,26,102.310891
-16.943692,22,102.672965
-15.583833,20,103.015686
-8.755625,11,103.394423
-9.41178,12,103.590745
-8.728181,11,103.779439
-10.305422,14,104.017239
-11.85515,16,104.287311
-9.823526,15,104.535055
-12.651545,19,104.859425
-11.578292,20,105.19224
-9.64001,12,105.394914
-10.445339,11,105.576119
-9.571156,13,105.795024
-12.006213,15,106.047957
-11.237204,12,106.262701
-9.458214,12,106.46295
-17.476577,27,106.915689
-9.054551,12,107.117461
-11.024891,12,107.319338
-9.919087,13,107.5321
-10.307686,15,107.960202
-10.575405,11,108.143535
-8.837233,11,108.322461
-9.074641,11,108.510529
-10.31274,14,108.742178
-10.611955,15,108.995698
-11.455722,12,109.195887
-12.957338,25,109.607628
-11.489203,13,109.825163
-13.564644,17,110.11427
-8.66588,11,110.297866
-9.994497,16,110.563349
-15.794516,23,110.945353
