#{"t_start": 1750698658.259779, "env_id": "None"}
r,l,t
-27.195777,47,1.769985
-13.168567,22,2.136323
-31.058737,58,3.149051
-30.050248,44,3.892763
-12.373113,18,4.195557
-21.441243,41,4.866551
-11.578551,16,5.136599
-24.199976,34,5.688712
-36.945917,61,6.685116
-31.264671,54,7.576371
-44.332988,93,9.107686
-19.309634,34,9.680566
-16.908243,25,10.101735
-14.094649,18,10.396168
-34.707231,72,11.603502
-73.892518,126,13.686975
-19.702965,38,14.356189
-46.086432,72,15.559627
-22.552401,40,16.214414
-25.493944,46,16.987064
-22.997729,41,17.648097
-78.252529,185,20.656287
-17.233054,32,21.190734
-28.608001,52,22.059235
-15.629698,19,22.37068
-15.354469,20,22.7029
-9.930554,16,22.961216
-19.701948,29,23.441241
-18.309901,27,23.890258
-21.163601,38,24.506222
-40.887797,71,25.675475
-13.891531,22,26.065135
-27.90108,43,26.789426
-19.043297,31,27.318497
-36.515435,57,28.260491
-50.642642,123,30.289449
-28.375492,42,30.985553
-53.521721,83,32.371902
-35.526169,53,34.636702
-75.236186,150,37.201735
-31.34266,49,37.987756
-65.273124,101,39.633342
-56.224036,98,41.261029
-12.254521,13,41.474344
-27.221298,49,42.282224
-28.884604,60,43.421452
-114.816561,231,47.216094
-23.782841,46,47.98437
-25.917586,50,48.81369
-23.094189,48,49.594994
-25.949004,51,50.444802
-105.510474,180,53.426349
-28.582915,69,54.561039
-22.920883,36,55.153328
-43.954953,70,56.340441
-30.159487,57,57.290682
-11.361498,18,57.580018
-52.110738,77,58.854244
-13.533143,20,59.187654
-55.85349,89,60.63723
-27.980965,51,61.491994
-23.187097,42,62.185007
-14.192444,26,62.610015
-24.041445,34,63.175084
-13.005974,24,63.576452
-31.094933,41,64.321903
-18.894604,46,65.162227
-25.525141,51,66.013013
-29.547556,74,68.603692
-43.551915,103,70.297627
-72.535249,145,72.663112
-13.738087,19,72.987475
-21.165694,37,73.606476
-28.461038,41,74.290993
-17.259081,27,74.736207
-19.879422,30,75.235676
-23.480062,50,76.061279
-31.747167,64,77.22042
-17.47082,34,77.768868
-26.159841,33,78.322115
-10.976367,14,78.552961
-38.855309,69,79.710224
-37.002255,69,80.838364
-47.932075,96,82.392817
-11.722483,17,82.67566
-24.854773,31,83.183214
-39.80072,87,84.596576
-39.783016,79,85.902621
-34.291127,66,86.995627
-51.37184,105,88.706868
-71.351836,112,90.565837
-26.105967,51,91.407364
-39.791219,70,92.57143
-23.107025,35,93.154731
-25.04002,54,94.064653
-13.713246,24,94.472289
-21.329182,27,94.915693
-23.444004,32,95.457167
-34.097598,49,96.268792
-16.621452,21,96.615272
-37.916789,63,97.89945
-19.592311,34,98.47053
-47.742296,92,101.34548
-24.177497,41,102.017543
-33.285163,69,103.177011
-26.887819,53,104.059969
-37.520022,94,105.60046
-53.333633,122,107.609457
-23.597278,50,108.438906
-16.474848,30,108.943887
-27.605839,44,109.677456
-30.500089,61,110.705049
-24.143853,50,111.536374
-32.77171,44,112.270872
-17.708617,33,112.826992
-47.9037,104,114.552137
-31.866881,65,115.628794
-29.852543,63,116.664928
-15.127512,25,117.080179
-21.372393,28,117.543569
-12.088481,18,117.836374
-44.782796,72,119.035715
-12.852461,16,119.298605
-29.8464,47,120.081455
-20.966955,35,120.666801
-22.683731,32,121.199292
-40.815053,78,122.480717
-62.301353,110,124.345448
-20.354754,32,124.927985
-32.557658,66,126.041769
-27.733949,37,126.653532
-38.594183,76,127.927
-16.075956,31,128.445358
-28.398881,59,129.4041
-36.827268,60,130.416064
-18.568176,28,130.875253
-15.900662,24,131.278942
-33.422172,73,132.492615
-25.627718,50,134.66562
-59.6485,105,136.401878
-21.193736,36,137.005524
-17.630177,31,137.508368
-14.149719,18,137.817778
-17.560765,30,138.314606
-19.273679,30,138.819918
-17.053458,28,139.286105
-34.822352,93,140.815345
-22.647541,44,141.537235
-25.85474,35,142.111879
-30.077263,62,143.205742
-21.551942,48,143.992847
-12.770899,20,144.321259
-20.298103,25,144.726481
-29.324397,38,145.36401
-31.526032,64,146.425232
-18.196852,33,146.982611
-16.693833,27,147.427218
-20.128553,25,147.837214
-15.963204,29,148.313396
-12.018169,20,148.644888
-22.169468,31,149.159631
-21.069465,44,149.882981
-25.434759,42,150.568036
-28.302946,38,151.192348
-19.532056,26,151.622141
-36.358775,60,152.605175
-23.908511,41,153.263577
-15.227951,19,153.582067
-20.298939,31,154.098851
-42.110284,59,155.0594
-11.579275,20,155.392462
-24.586068,49,156.201367
-18.116583,28,156.664885
-20.970215,28,157.132421
-15.419529,25,157.542361
-23.131402,35,158.118539
-13.704334,21,158.47168
-15.198568,29,158.959214
-14.744315,28,159.420286
-17.217355,32,159.957402
-18.809322,32,160.493078
-15.495701,25,160.907604
-20.61553,30,161.403127
-22.804101,38,162.043385
-12.686442,25,162.457463
-15.452107,25,162.965284
-20.831575,38,163.659599
-17.938397,32,164.193762
-41.018557,66,165.280772
-31.391121,55,166.179922
-33.928234,68,168.6616
-22.902348,41,169.343752
-30.810545,81,170.680972
-30.467852,61,171.681275
-12.539402,22,172.035087
-16.46669,34,172.605379
-14.2105,22,172.971184
-10.985422,17,173.265701
-21.157404,31,173.788614
-12.440882,19,174.102172
-13.485668,25,174.514166
-17.118445,28,174.982479
-12.740891,23,175.371147
-23.428318,49,176.189917
-24.200472,45,176.926815
-19.829257,39,177.586372
-30.855593,66,178.678939
-15.065425,19,178.987321
-19.595349,30,179.490793
-16.651805,31,180.013751
-10.720548,14,180.248497
-14.389311,21,180.594731
-26.895336,35,181.192477
-23.263948,41,181.869516
-13.137334,21,182.208324
-20.582695,31,182.728857
-20.215334,31,183.247905
-21.627274,42,183.981707
-14.947381,24,184.426129
-13.130451,27,184.922734
-11.504634,16,185.204618
-19.243369,33,185.754521
-11.749865,17,186.032925
-26.09137,38,186.662743
-24.747704,32,187.196027
-38.571001,52,188.063354
-23.921249,42,188.764825
-28.40451,48,189.568441
-34.534663,47,190.345138
-16.04353,32,190.88064
-15.096145,26,191.31625
-17.0609,22,191.669845
-15.860413,32,192.200189
-34.650001,67,193.318183
-17.696343,25,193.735589
-14.480782,24,194.138512
-43.036658,107,195.915022
-24.0936,44,196.667511
-17.861998,27,197.107464
-25.542528,43,197.837407
-13.731719,24,198.233934
-26.934983,56,199.175116
-20.856053,38,199.807985
-10.765209,19,201.470795
-25.392699,42,202.170305
-11.536948,16,202.436218
-21.694035,42,203.138923
-22.244804,32,203.675131
-14.025176,25,204.087551
-20.185647,25,204.491817
-20.694981,33,205.045738
-13.058771,16,205.313292
-15.108639,25,205.722588
-19.446738,28,206.185155
-16.990181,34,206.758169
-11.882192,15,207.013268
-8.831902,24,207.404979
-20.741269,38,208.037549
-11.760949,18,208.335724
-16.706075,32,208.870648
-13.167837,24,209.257266
-21.824279,56,210.191354
-12.412199,15,210.438148
-10.303426,14,210.666511
-20.428816,37,211.348057
-12.770195,20,211.682952
-14.584514,20,212.019263
-14.712409,23,212.398611
-12.531694,21,212.747071
-9.688678,13,212.970211
-17.168481,28,213.432765
-11.98591,20,213.76449
-15.772851,30,214.264417
-13.844522,22,214.626935
-15.278322,26,215.058731
-13.972596,18,215.353547
-14.229378,24,215.7603
-14.863521,24,216.150918
-18.537516,37,216.757438
-14.092145,22,217.121468
-13.658918,25,217.533672
-21.651623,33,218.085694
-11.718773,16,218.351369
-10.66387,15,218.602377
-20.346378,41,219.281596
-20.325679,35,219.86829
-13.08008,19,220.176427
-14.728648,23,220.555417
-15.342984,25,220.969666
-18.135957,35,221.554911
-15.731307,21,221.914255
-18.250636,26,222.348984
-12.91109,17,222.637365
-15.262964,27,223.208546
-10.903469,14,223.445877
-14.771779,17,223.73151
-13.152151,21,224.079153
-12.485232,22,224.445827
-11.086407,20,224.787828
-13.170944,20,225.130727
-22.435596,30,225.639238
-21.604068,30,226.134534
-14.683823,23,226.538643
-19.11376,31,227.046751
-14.220807,17,227.319853
-12.723597,19,227.639929
-17.922714,27,228.085142
-25.14866,38,228.718598
-13.86597,26,229.151726
-13.222962,23,229.532857
-19.4302,33,230.094376
-20.611825,30,230.59815
-14.821265,20,230.930292
-16.73702,29,231.409505
-13.803293,20,231.747157
-14.974086,19,232.068264
-13.843691,22,232.431997
-16.743806,39,233.096242
-18.343459,28,234.899796
-17.45699,25,235.327525
-10.797739,17,235.604556
-12.358225,15,235.860036
-13.302116,21,236.203926
-25.121342,46,236.981398
-11.923363,16,237.241739
-14.007497,22,237.608218
-9.660219,12,237.81517
-23.010618,42,238.518983
-23.068466,34,239.075979
-13.26412,19,239.396881
-13.508533,22,239.759232
-14.996005,26,240.198336
-32.314741,52,241.072944
-12.853308,19,241.38762
-12.766573,15,241.643233
-17.803635,29,242.137192
-12.507294,22,242.502474
-18.267265,24,242.89922
-12.477797,18,243.223471
-13.218055,15,243.495939
-20.268926,28,243.974104
-11.987189,19,244.28551
-15.521201,27,244.73847
-15.177527,22,245.110142
-13.048319,20,245.46793
-12.595466,24,245.869502
-17.878214,31,246.389412
-19.339058,42,247.110614
-11.011677,13,247.331808
-17.181028,30,247.841576
-14.876419,27,248.28746
-17.213336,24,248.695011
-13.454179,24,249.089802
-15.705913,29,249.569328
-19.680235,35,250.147824
-21.178631,43,250.859313
-20.628724,36,251.455642
-14.333113,19,251.770368
-11.152857,14,251.999611
-17.689699,21,252.347626
-20.305731,37,252.958643
-16.700539,21,253.313273
-15.44477,28,253.793782
-15.923924,25,254.212083
-15.55485,32,254.762859
-23.429955,36,255.379816
-24.125276,34,255.953501
-11.073246,13,256.172474
-13.239688,21,256.524238
-14.827533,22,256.902239
-8.708955,24,257.300937
-14.9994,28,257.758582
-10.633936,19,258.084185
-16.953675,27,258.543533
-15.690319,27,258.997248
-15.242177,19,259.319925
-16.399321,27,259.761914
-12.022887,18,260.061679
