#{"t_start": 1750698658.259767, "env_id": "None"}
r,l,t
-81.957805,144,3.447461
-39.240112,62,4.479445
-19.808639,30,4.970471
-30.629272,64,6.020252
-19.318181,26,6.437814
-24.126354,45,7.177675
-45.969163,70,8.335435
-43.873068,84,9.733237
-23.798727,32,10.267131
-29.690429,56,11.206623
-85.34041,154,13.752174
-67.756288,150,16.286024
-18.038165,34,16.851305
-16.327906,25,17.264297
-19.961254,28,17.716564
-22.248685,33,18.251805
-62.886849,116,20.125363
-57.328255,84,21.523147
-13.642953,23,21.904183
-13.412837,31,22.42375
-17.960312,34,22.983909
-19.621782,35,23.561804
-77.396054,146,25.986224
-23.678544,50,26.826036
-25.770834,45,27.585056
-43.601566,104,29.30698
-48.410647,71,30.47365
-30.896913,44,31.206645
-84.426228,192,35.774725
-24.971465,52,36.711503
-55.540906,141,39.01257
-23.040852,37,39.61019
-38.881125,81,40.964698
-21.943041,41,41.642029
-18.076322,37,42.252536
-42.836663,99,44.029963
-14.914414,21,44.369832
-34.932798,57,45.302604
-33.793873,66,46.379217
-39.821008,80,47.716345
-39.019351,112,49.562919
-42.486646,83,50.926186
-39.632052,75,52.178812
-40.125829,66,53.275199
-20.766642,31,53.792049
-28.068472,61,54.795642
-84.024717,135,57.050401
-102.898139,195,60.268894
-27.202859,40,60.924864
-24.084898,34,61.485524
-13.736644,18,61.791717
-20.310011,41,62.458565
-78.218608,173,65.481071
-25.582815,61,67.852579
-36.687376,55,68.771091
-15.789771,28,69.222286
-24.271961,37,69.840471
-22.119173,43,70.545281
-47.88778,89,71.991299
-58.588618,111,73.840087
-60.411214,102,75.528349
-14.726912,22,75.893682
-42.266723,99,77.622414
-21.613375,31,78.142556
-52.116705,83,79.527398
-94.728227,153,82.026572
-30.105275,75,83.251002
-19.156635,32,83.7698
-20.699779,32,84.293101
-49.998103,81,85.622376
-28.814138,43,86.333817
-17.893223,35,86.916578
-60.801475,93,88.436117
-28.950111,58,89.391529
-18.9388,34,89.947918
-80.166269,137,92.219083
-14.700481,25,92.644013
-47.688039,112,94.525311
-20.708216,42,95.223594
-23.385589,48,96.025219
-15.012887,19,96.339576
-19.392146,35,96.911103
-14.084442,21,97.482279
-20.428503,38,98.133498
-21.799875,42,98.828494
-43.244418,96,101.771828
-14.735877,18,102.064789
-17.152004,24,102.454056
-29.652138,45,103.23047
-16.791529,28,103.690727
-20.539854,41,104.387578
-38.582024,71,105.539082
-36.572678,75,106.772968
-23.950199,31,107.271816
-16.397189,25,107.69113
-26.266508,33,108.240198
-23.881724,38,108.874174
-74.889283,129,111.040368
-20.788286,27,111.480297
-16.25006,28,111.951477
-19.501364,40,112.624692
-36.307019,64,113.685983
-25.470241,40,114.353219
-25.113362,42,115.042293
-14.680335,33,115.592162
-19.156756,27,116.033003
-42.240563,103,117.74137
-22.911569,35,118.324717
-14.757989,27,118.769454
-20.810252,45,119.515503
-56.279657,118,121.481403
-22.045912,41,122.145574
-20.842983,44,122.878541
-31.285232,70,124.051027
-18.069142,31,124.619462
-12.318401,18,124.94766
-51.386354,90,126.451761
-24.68878,33,127.016786
-30.52842,47,127.790145
-47.548214,68,128.915127
-29.756044,64,129.980341
-26.116421,47,130.759028
-13.809175,28,131.227147
-22.883054,41,131.896431
-18.848202,34,132.471678
-20.245209,25,132.892209
-21.971942,32,134.76779
-26.866895,53,135.638383
-25.121021,43,136.348135
-13.194572,23,136.745908
-27.366388,53,137.613947
-18.83885,35,138.202036
-14.064396,22,138.570439
-23.013069,37,139.189811
-25.789957,39,139.831194
-36.985475,53,140.705633
-24.236699,42,141.392584
-25.958348,37,141.996626
-11.567899,15,142.265015
-13.19502,22,142.668493
-17.712383,33,143.226665
-14.631857,29,143.708677
-19.529916,31,144.20147
-18.083546,34,144.763107
-11.703843,17,145.039393
-21.648956,30,145.551568
-11.06939,17,145.834258
-18.701522,22,146.201487
-19.163668,35,146.778625
-22.192413,36,147.381006
-34.259251,54,148.267627
-20.106477,36,148.859986
-19.834565,34,149.426729
-14.444125,28,149.887742
-25.168949,41,150.548518
-13.939078,24,150.946963
-18.740004,38,151.569199
-18.501421,28,152.025972
-22.31125,37,152.640967
-24.966934,39,153.269815
-29.237631,36,153.86736
-11.250068,16,154.137466
-11.129789,15,154.38116
-20.555624,40,155.023769
-17.297546,33,155.578755
-28.006013,47,156.351108
-15.278742,22,156.720214
-37.950954,77,157.985568
-15.089027,26,158.419389
-15.83689,18,158.719113
-35.546027,67,159.838533
-23.196832,36,160.444766
-19.38906,35,161.022171
-20.093233,40,161.688693
-20.25448,34,162.263239
-16.429284,27,162.712814
-19.738099,34,163.422022
-16.450415,30,163.924443
-25.566943,39,164.572686
-24.02182,36,165.167037
-21.873927,38,165.792558
-20.132737,40,167.795428
-14.020348,21,168.145161
-12.349303,23,168.526863
-17.071076,31,169.040411
-16.258304,24,169.444364
-21.818388,35,170.021434
-15.9782,21,170.361795
-22.194271,29,170.847769
-21.59275,33,171.391398
-37.268746,80,172.705119
-12.772419,20,173.042082
-14.175902,17,173.329027
-14.808447,25,173.752331
-30.478133,40,174.409601
-12.932272,15,174.660642
-19.51538,28,175.133035
-19.391492,31,175.652648
-10.037739,13,175.871298
-14.742263,21,176.225469
-19.729047,35,176.791841
-23.389405,51,177.650989
-13.32433,16,177.920884
-14.352112,17,178.194497
-14.012952,25,178.610214
-21.320937,31,179.123484
-13.911217,22,179.497288
-11.040784,15,179.74768
-21.512399,39,180.39308
-18.491596,27,180.852907
-28.329885,55,181.761083
-21.496991,40,182.429865
-18.614215,29,182.916328
-15.544824,22,183.283793
-13.108772,20,183.620017
-16.86627,30,184.167659
-10.709371,15,184.447805
-11.244855,15,184.728019
-13.624171,21,185.109166
-20.01945,29,185.591253
-28.490024,50,186.409931
-18.75571,35,187.001312
-13.289631,20,187.336651
-16.527664,28,187.795561
-13.396513,16,188.05757
-14.422241,23,188.448401
-19.503722,33,188.993325
-17.19393,28,189.464502
-21.128447,29,189.947075
-24.687735,31,190.456296
-13.374256,19,190.775699
-38.548815,75,192.01696
-19.142016,36,192.609653
-17.830537,34,193.189067
-14.970692,29,193.672804
-14.430861,22,194.041245
-14.770068,24,194.438873
-14.369234,25,194.857053
-13.798593,19,195.169385
-20.791927,38,195.798606
-14.357748,16,196.062244
-14.805627,27,196.532042
-12.657715,21,196.878558
-11.311834,16,197.146497
-22.547961,29,197.629171
-12.559103,22,198.003303
-13.687884,21,198.352173
-12.992928,20,198.685098
-17.864967,27,199.138493
-11.569559,20,199.467225
-19.375688,30,201.319044
-20.879258,42,202.020355
-23.39348,38,202.651012
-15.380486,27,203.097436
-20.505199,30,203.604377
