#{"t_start": 1750698658.259783, "env_id": "None"}
r,l,t
-15.614008,28,1.451626
-14.893667,25,1.872279
-17.766995,37,2.501939
-21.138257,43,3.264341
-15.123194,27,3.700679
-65.214894,115,5.598769
-25.211272,50,6.417488
-16.772914,28,6.880416
-25.621066,54,7.777775
-38.295196,67,8.870578
-31.836258,40,9.541413
-27.014256,54,10.453137
-29.537039,58,11.42557
-15.634009,21,11.77188
-16.963581,24,12.158559
-31.719852,65,13.242272
-19.675328,34,13.825883
-41.902998,77,15.125075
-32.732479,56,16.056869
-24.725958,52,16.916395
-47.720283,110,18.703534
-14.867006,22,19.056911
-73.186555,120,21.023451
-31.749067,65,22.105545
-35.215191,86,23.522236
-13.183425,21,23.867166
-36.643322,60,24.857222
-17.602341,22,25.216349
-34.310953,54,26.13068
-25.149876,41,26.826381
-47.640103,100,28.496113
-25.968869,57,29.438581
-16.692018,28,29.904817
-14.170856,19,30.208528
-14.003748,20,30.543809
-33.329902,77,31.823749
-15.457049,19,32.149073
-34.609226,57,34.467043
-18.098799,38,35.095494
-21.595718,40,35.754586
-32.482429,60,36.833477
-74.152595,124,38.843936
-38.531888,68,39.964815
-73.501557,174,42.867038
-34.858289,69,44.125917
-20.708589,44,44.84319
-13.481074,24,45.23064
-39.847785,97,46.83464
-20.349559,42,47.526326
-14.315046,26,47.97099
-15.243285,32,48.494534
-20.170882,41,49.173557
-26.616969,42,49.862924
-16.680063,33,50.408713
-29.128029,49,51.211757
-22.2529,37,51.83017
-19.680531,33,52.377928
-44.536111,64,53.446176
-27.433251,49,54.254726
-28.338384,44,54.971569
-17.602255,24,55.366689
-36.02853,63,56.442568
-33.49887,48,57.237981
-38.996626,66,58.332545
-37.934734,71,59.493495
-24.233723,36,60.082184
-47.409686,78,61.373174
-21.750468,43,62.084191
-50.927395,115,64.032357
-59.737008,128,66.263048
-33.786286,58,68.580574
-36.843074,60,69.574698
-12.575275,19,69.886518
-14.230513,22,70.246302
-19.290952,33,70.785621
-23.274049,47,71.54505
-27.770046,57,72.478876
-18.502788,29,72.966932
-23.701188,39,73.62901
-11.484497,14,73.863198
-15.491646,23,74.235046
-13.751055,19,74.553091
-48.152358,74,75.777708
-38.575695,61,76.881373
-18.65474,39,77.524635
-70.460328,129,79.675952
-20.257202,34,80.236777
-69.92479,125,82.261287
-35.616633,61,83.270915
-58.605622,131,85.406961
-17.556732,29,85.88915
-31.635974,52,86.743607
-45.58383,84,88.11915
-68.027177,132,90.297614
-27.641921,38,90.922476
-35.375934,82,92.291869
-42.727686,68,93.424663
-23.429779,52,94.302751
-52.927044,88,95.769657
-52.691313,88,97.438753
-28.206938,36,98.069527
-43.029528,110,101.242217
-14.546362,27,101.684525
-52.414451,96,103.298366
-34.311527,53,104.170047
-26.387321,49,104.988892
-18.424899,25,105.387942
-35.443202,48,106.16593
-17.90982,32,106.704449
-23.518763,37,107.304834
-17.108754,30,107.814423
-21.487259,41,108.483552
-20.404378,36,109.098417
-20.426355,43,109.807023
-31.180472,50,110.65203
-39.069847,61,111.666556
-28.335203,53,112.553103
-24.652505,48,113.359956
-44.176108,103,115.064941
-15.221151,27,115.504056
-19.635055,41,116.187297
-14.095315,22,116.549724
-35.400024,58,117.504597
-27.032559,53,118.388932
-36.617199,64,119.441993
-27.542612,52,120.311367
-26.765354,52,121.179378
-24.050418,51,122.013895
-15.208034,28,122.474367
-12.619038,18,122.773337
-25.780664,52,123.62892
-29.546754,53,124.58453
-24.098494,42,125.330165
-21.630543,40,125.989396
-18.524208,42,126.689697
-18.756258,42,127.396273
-21.701143,42,128.094059
-22.291434,35,128.669769
-25.884389,39,129.308511
-10.696739,20,129.650864
-14.073742,25,130.065742
-15.469789,18,130.35991
-40.035813,51,131.204025
-14.547069,23,131.588291
-21.752069,35,132.1631
-23.138465,33,132.719827
-15.518759,27,134.51581
-18.462413,33,135.05969
-15.249558,24,135.452921
-20.887558,40,136.11893
-10.518604,14,136.355524
-22.281336,33,136.903472
-23.126138,45,137.644431
-26.320762,44,138.381366
-23.993979,34,138.954909
-49.92309,92,140.468512
-19.040752,36,141.058385
-21.290869,30,141.559627
-22.197771,39,142.204277
-13.85235,18,142.557002
-23.102866,36,143.149957
-14.381115,27,143.602373
-15.470251,21,143.948626
-27.754086,59,144.904727
-15.78872,26,145.345417
-18.463393,35,145.933956
-21.854354,31,146.442483
-15.404238,27,146.897278
-23.537233,46,147.655335
-40.078574,66,148.749797
-26.36055,57,149.687886
-18.861709,36,150.269436
-23.98135,38,150.891774
-24.424108,43,151.598608
-25.415738,45,152.336545
-17.66068,34,152.899149
-12.709886,19,153.198514
-18.024394,24,153.601969
-17.045651,24,154.001843
-29.364999,74,155.214371
-28.342446,53,156.078853
-23.579643,28,156.551714
-14.350982,19,156.869294
-12.004964,16,157.126487
-22.500439,39,157.773168
-15.119473,23,158.148447
-13.986008,19,158.471136
-14.026639,27,158.922464
-18.813766,29,159.397718
-22.30052,40,160.072507
-25.345905,53,160.957663
