#{"t_start": 1750698658.26977, "env_id": "None"}
r,l,t
-17.171506,23,1.353075
-19.636171,29,1.841186
-25.109128,67,2.987515
-29.868105,56,3.947162
-20.610492,29,4.430918
-46.604943,96,6.003782
-20.230829,33,6.537424
-38.785305,62,7.559328
-37.731368,72,8.741695
-14.266359,26,9.178489
-24.816383,48,9.987786
-19.325111,30,10.490344
-20.510199,35,11.075043
-20.740095,38,11.706273
-39.220128,82,13.062112
-15.962605,25,13.473024
-48.566158,73,14.727121
-47.252958,106,16.492671
-22.098802,65,17.555657
-77.694152,158,20.108885
-33.955643,56,21.042606
-13.175014,20,21.37929
-15.358278,25,21.795427
-54.117554,110,23.613337
-50.862778,84,24.993144
-13.862959,17,25.273447
-30.544292,57,26.237236
-18.771298,41,26.928908
-29.681749,44,27.669579
-36.542707,58,28.630375
-24.552062,55,29.545541
-17.53405,28,30.00399
-24.488822,45,30.743489
-16.204422,24,31.141013
-27.520183,52,32.013089
-87.172014,167,36.213254
-73.000985,104,37.945148
-46.256103,122,39.932679
-28.295306,40,40.597907
-31.674829,56,41.526459
-37.358954,58,42.484957
-84.656851,129,44.745248
-20.99812,32,45.270331
-20.50948,43,45.974718
-32.349338,75,47.219216
-17.945524,36,47.818541
-35.549633,48,48.616453
-22.857209,36,49.212542
-33.912359,52,50.064422
-14.268388,29,50.545001
-25.834674,54,51.433419
-20.992007,40,52.102203
-32.818498,74,53.32852
-14.981348,23,53.708605
-35.955342,47,54.485465
-63.145757,131,56.675583
-26.998037,42,57.375479
-14.210542,21,57.716128
-73.497927,152,60.218943
-36.355523,98,61.844656
-83.516261,137,64.165372
-61.880455,135,67.855756
-17.35788,31,68.371476
-14.056924,20,68.705633
-111.633741,205,72.059291
-21.774468,52,72.919109
-37.590528,83,74.310253
-99.978612,209,77.859705
-63.947793,116,79.796048
-49.059067,89,81.248606
-28.904668,48,82.029595
-47.468758,107,83.776523
-36.101764,61,84.766527
-22.754674,42,85.458939
-35.673878,67,86.563888
-24.203385,48,87.3617
-24.230944,37,87.966003
-21.854752,35,88.537712
-34.477141,60,89.524726
-42.129869,88,90.977789
-53.284039,88,92.445711
-17.886599,34,93.009145
-21.571264,36,93.61042
-22.656257,41,94.30599
-15.31674,21,94.6588
-12.635382,18,94.960592
-34.05807,44,95.692811
-35.323104,76,96.94742
-24.158156,58,98.156751
-33.764197,66,99.266184
-79.718669,129,102.725204
-30.397797,43,103.464269
-25.907565,39,104.111326
-24.17926,36,104.712602
-23.40979,46,105.457643
-24.351981,37,106.058809
-24.048546,50,106.889029
-26.3487,54,107.781028
-13.242216,18,108.078329
-45.921715,74,109.315728
-14.008426,16,109.579052
-26.702197,35,110.170212
-20.003003,37,110.792153
-15.889654,26,111.22642
-20.791004,31,111.739338
-25.176295,39,112.396791
-11.961245,21,112.745218
-35.663806,56,113.669491
-23.177822,38,114.303059
-39.236662,80,115.631795
-13.45466,22,115.991085
-20.240006,29,116.468534
-19.927794,55,117.376847
-18.871275,31,117.893565
-23.285899,48,118.687561
-18.02687,29,119.168747
-11.878339,19,119.482224
-27.932355,48,120.285489
-39.664248,95,121.858712
-18.428028,32,122.379772
-16.94392,32,122.915148
-58.105809,122,125.049648
-33.768748,68,126.176655
-14.617167,18,126.471547
-27.294137,46,127.25358
-19.51143,36,127.842372
-26.250258,55,128.757671
-18.949381,25,129.167496
-21.286732,35,129.752503
-25.524446,46,130.516609
-13.645984,26,130.944284
-27.258462,53,131.824036
-56.33782,122,135.196583
-15.161865,24,135.589218
-13.091897,20,135.920376
-12.619325,19,136.240452
-14.640956,27,136.69785
-15.143494,29,137.167558
-16.898143,21,137.519039
-21.472925,39,138.168989
-38.258735,75,139.423363
-24.889374,33,139.965118
-20.267694,34,140.52426
-19.664822,35,141.096863
-15.624495,29,141.579392
-17.545538,29,142.04782
-34.079405,62,143.139586
-26.387044,40,143.807094
-12.749999,20,144.126348
-27.390673,69,145.261442
-21.837761,44,146.002425
-22.986186,33,146.548536
-23.985275,37,147.170774
-20.087256,33,147.71027
-13.494021,27,148.151754
-20.371552,38,148.786825
-20.534728,44,149.512775
-18.027295,24,149.907042
-11.756589,19,150.2113
-24.754872,42,150.898105
-22.500063,42,151.588878
-29.949151,50,152.407766
-18.298728,28,152.86693
-22.551375,48,153.654997
-12.752215,19,153.96734
-19.022194,29,154.448778
-24.338631,35,155.019596
-20.606636,37,155.630293
-33.961367,65,156.704187
-19.055809,32,157.230632
-14.678089,18,157.524623
-13.081356,20,157.857703
-28.565261,42,158.556592
-20.381702,31,159.07977
-38.793157,54,159.977988
-18.326747,28,160.448777
-13.45554,19,160.758916
-25.400672,48,161.558391
-22.790215,35,162.146768
-20.047086,40,162.825956
-13.596295,16,163.227772
-20.875133,29,163.712559
-17.36797,29,164.197464
-14.708947,30,164.693357
-43.029676,70,165.848164
-13.780987,18,166.136766
-13.998932,19,167.799366
-19.951145,44,168.53042
-17.228215,32,169.061032
-25.069657,55,169.971568
-23.985538,46,170.733066
-11.097814,17,171.013583
-11.296101,20,171.342829
-15.884259,26,171.762968
-12.881725,21,172.103711
-18.286451,28,172.574271
-14.288157,18,172.872067
-27.516391,35,173.46984
-20.119285,29,173.954178
-12.255455,20,174.285318
-11.508519,17,174.565685
-13.189888,21,174.918307
-18.565541,22,175.288323
-15.67043,30,175.788821
-34.838211,46,176.550437
-12.342494,19,176.865781
-16.450639,24,177.268442
-11.276437,20,177.608294
-20.425874,32,178.135602
-14.916148,25,178.548698
-18.279178,34,179.107317
-15.473101,18,179.413337
-15.945165,21,179.767457
-12.824012,23,180.14986
-16.360599,26,180.584276
-22.439281,35,181.175862
-14.944236,29,181.650807
-19.131014,34,182.21439
-18.775847,37,182.833696
-18.763107,30,183.337307
-16.021295,24,183.739018
-23.721371,29,184.28247
-24.571019,31,184.858318
-20.966187,39,185.525525
-34.532414,64,186.580215
-28.023253,63,187.635058
-12.426898,21,187.982639
-22.479963,35,188.566875
-17.240449,30,189.069486
-6.730049,21,189.415405
-33.769943,50,190.246556
-32.17273,70,191.42062
-25.29829,50,192.235683
-21.644475,36,192.835291
-13.762841,17,193.12221
-12.971761,18,193.422931
-17.730889,25,193.840172
-28.246916,36,194.442025
-14.78009,25,194.860016
-14.939031,18,195.158851
-16.127972,25,195.565931
-13.289354,15,195.818381
-15.117696,28,196.284989
-16.61777,24,196.702837
-14.653982,26,197.129861
-19.328792,29,197.612795
-22.9579,38,198.254288
-16.183383,23,198.635473
-19.471242,24,199.03763
-10.604454,17,199.327501
-14.348276,24,199.723917
-24.904569,44,201.807529
-28.277048,44,202.536368
-13.131473,21,202.887221
-11.993213,19,203.205591
-13.61452,27,203.658035
-12.854625,16,203.919874
-16.75244,24,204.318441
-17.389189,29,204.796712
-28.95248,44,205.529648
-14.408779,27,205.973434
-18.307586,24,206.375209
-17.808177,28,206.844823
-20.999824,41,207.522054
-16.00426,24,207.920971
-17.576044,36,208.522568
-16.731417,28,208.986925
-10.520788,13,209.194186
-13.792519,19,209.512244
-15.855718,28,209.974794
-18.92639,38,210.605515
-12.77918,22,210.979589
-12.596904,23,211.417723
-16.487399,26,211.854616
-13.29789,19,212.169994
-16.977525,25,212.578984
-14.355398,30,213.086151
-17.260062,33,213.634476
-17.603505,28,214.100901
-13.393166,15,214.352547
-16.690823,26,214.780488
-16.709187,24,215.178054
-13.354052,18,215.477468
-10.269152,14,215.706985
-20.63036,33,216.25149
-16.319101,31,216.760451
-16.375483,24,217.157669
-10.453141,12,217.356405
-19.184863,29,217.841867
-11.403086,14,218.074184
-16.517928,31,218.586054
-12.462315,19,218.896858
-18.361396,28,219.371774
-13.926436,17,219.656018
-11.992601,17,219.93901
-18.590938,31,220.444845
-12.543732,23,220.821981
-13.904266,20,221.157548
-18.342698,32,221.696243
-11.235105,18,222.005994
-15.351011,27,222.457691
-19.851756,37,223.195796
-14.313549,24,223.598064
-12.040283,17,223.887066
-18.207046,31,224.400679
-13.997819,20,224.738258
-11.611911,15,224.990373
-31.012303,47,225.787827
-15.572293,27,226.234613
-16.186099,23,226.643834
-17.535321,26,227.068011
-16.135769,32,227.588107
-13.435437,17,227.873608
-21.519652,43,228.583241
-19.023881,23,228.967797
-10.971994,15,229.219755
-12.336369,21,229.568519
-18.635376,38,230.215129
-17.548831,33,230.764295
-21.253603,38,231.39999
-12.416231,19,231.714011
-25.372077,47,232.50393
-16.098795,25,232.926325
-19.388116,35,234.856059
-12.997728,19,235.175941
-12.775932,22,235.541644
-14.892759,23,235.929027
-16.221936,29,236.409885
-14.084176,20,236.746314
-14.701105,22,237.117674
-14.737448,23,237.493596
-12.967667,15,237.743704
-11.545516,15,238.001198
-17.269146,28,238.475232
-13.911229,17,238.758183
-15.706543,21,239.098489
-13.768682,21,239.44836
-17.089222,29,239.930489
-11.363076,15,240.181616
-14.000684,23,240.568411
-12.421328,21,240.915877
-13.657603,24,241.324912
-19.812754,36,241.935554
-10.884357,16,242.208
-18.823962,30,242.70227
-13.265139,21,243.058009
-13.307722,21,243.448938
-24.876771,39,244.111043
-13.678802,17,244.38858
-12.061124,14,244.62116
-17.385708,30,245.13011
-12.384267,18,245.459057
-17.388496,25,245.874227
-14.307727,20,246.210586
-12.313949,15,246.466654
-18.838586,29,246.961358
-11.330966,18,247.266333
-13.236692,20,247.608806
-20.360619,36,248.204044
-10.548026,12,248.418206
-12.400798,15,248.667874
-16.484765,29,249.142384
-18.506854,29,249.619998
-16.271087,21,249.969695
-17.163686,34,250.530811
-15.525922,27,250.976967
-11.781521,15,251.223623
-18.77557,33,251.773597
-19.56637,35,252.351325
-11.573801,17,252.632748
-27.47614,56,253.574893
-13.255047,25,253.993161
-14.582229,21,254.347918
-12.930472,25,254.783343
-16.776249,25,255.209978
-16.550418,30,255.727466
-10.725865,12,255.920851
-12.804923,15,256.176005
-13.229048,23,256.565452
-12.914175,20,256.90542
-15.274026,21,257.251224
-13.688674,20,257.582263
-13.820282,20,257.918274
-17.802862,27,258.374695
-12.832294,25,258.800199
-16.929976,30,259.303766
-15.556016,25,259.719202
-20.878216,35,260.300621
-15.346172,27,260.748828
-18.625836,28,261.210533
-15.231586,25,261.624028
-16.637297,23,262.000522
-12.751351,24,262.39726
-12.107591,18,262.693724
-19.340019,31,263.218231
-9.908649,13,263.434566
-13.968686,24,263.83738
-16.751896,23,264.226904
-20.510582,30,264.731121
-5.891551,19,265.041701
-12.44657,21,265.400421
-10.69197,12,265.601902
-14.9776,26,266.032225
-13.548767,17,266.317834
-15.793777,23,266.698003
-13.875141,25,268.466905
-11.214228,15,268.715691
-12.292606,21,269.071851
-15.19105,21,269.426846
-12.222946,24,269.826106
-12.865949,18,270.124124
-11.829512,17,270.418668
-14.240719,22,270.774387
-26.956179,38,271.408739
-11.347049,17,271.699201
-10.780504,11,271.887786
-12.263898,21,272.246245
-11.625507,22,272.620678
-16.192197,24,273.029042
-13.82812,17,273.313011
-11.524406,16,273.576459
-12.393718,15,273.829996
-12.167138,26,274.261552
-13.565025,22,274.6357
-12.315533,21,274.98946
-13.991845,24,275.391442
-12.131143,23,275.760885
-12.545857,16,276.020051
-10.969128,17,276.299924
-24.702967,42,276.990027
-12.336621,14,277.224638
-16.897969,22,277.590173
-12.557405,16,277.853396
-14.977574,23,278.239988
-16.267562,27,278.68989
-14.572786,20,279.019597
-11.10435,15,279.28214
-17.035368,27,279.729918
-12.866358,20,280.063544
-18.807054,30,280.556758
-11.739461,13,280.768028
-13.81755,24,281.168679
-16.227843,26,281.600816
-11.766186,19,281.918315
-12.184223,19,282.23224
-17.636345,32,282.755412
-11.182714,15,283.073225
-22.908303,47,283.894492
-10.026378,14,284.13094
-11.97832,14,284.364817
-12.450297,21,284.72163
-20.497022,35,285.302907
-14.546997,27,285.755615
-20.505523,32,286.29621
-11.535195,16,286.577231
-18.200599,28,287.054037
-13.883844,23,287.433181
-13.043319,16,287.705619
-13.754582,21,288.046129
-12.104459,20,288.39264
-15.169491,25,288.811303
-13.91356,24,289.22212
-13.280911,23,289.619473
-11.609621,20,289.9635
-14.184454,17,290.248194
-10.615751,21,290.615754
-15.099728,27,291.062105
-14.883533,24,291.461018
-11.37459,14,291.700821
-12.754438,15,291.955527
-19.865737,33,292.50804
-26.055626,53,293.417534
-9.836474,12,293.617272
-9.678855,13,293.835958
-15.159777,27,294.288778
-16.680221,26,294.726149
-13.856239,25,295.139958
-14.259109,24,295.541419
-12.627008,22,295.905179
-12.931372,17,296.183605
-15.138349,24,296.584375
-12.409824,23,296.970942
-18.883292,35,297.553809
-12.460062,22,297.927429
-10.658327,15,298.176368
-14.213124,23,298.551547
-20.708614,36,299.161525
-16.020326,26,299.614629
-15.047267,20,299.988104
-9.926141,15,300.265412
-11.188012,16,300.568283
-17.21217,31,302.453951
-17.65098,27,302.9187
-9.117365,14,303.160841
-14.862595,24,303.563647
-19.728103,25,304.010846
-15.515826,27,304.560162
-10.07428,15,304.987019
-13.52912,21,305.553147
-16.390728,20,305.922345
-14.3118,25,306.354041
-14.260334,21,306.725039
-14.703865,20,307.083331
-14.735055,25,307.504812
-11.341391,18,307.812567
-14.509297,20,308.147774
-29.732033,52,309.026828
-10.637847,18,309.335677
-11.658164,13,309.564335
-15.372432,20,309.902815
-9.675359,13,310.128644
-10.783529,17,310.431043
-12.073493,16,310.728904
-13.093793,22,311.120677
-10.804462,15,311.391196
-26.872997,49,312.280255
-20.380933,33,312.861455
-15.117588,21,313.226844
-16.966023,27,313.703814
-12.092657,19,314.036104
-14.561202,26,314.497914
-15.907645,20,314.838216
-11.809887,13,315.065119
-12.038001,14,315.309722
-13.331292,27,315.825161
-13.812315,18,316.144629
