#{"t_start": 1750698658.259707, "env_id": "None"}
r,l,t
-59.813191,105,2.746053
-42.267209,77,4.074879
-37.994124,84,5.455096
-19.73202,35,6.034524
-45.840428,100,7.672426
-23.123402,47,8.443536
-41.454184,66,9.537173
-21.05829,29,10.029982
-66.832541,112,11.897452
-15.232148,28,12.354031
-34.46919,71,13.531734
-40.261576,55,14.487917
-46.060011,85,15.902464
-43.208388,65,16.980771
-18.157803,28,17.437231
-37.600327,73,18.616603
-37.774504,81,19.92366
-97.905828,201,23.260545
-65.150486,133,25.447969
-14.465566,18,25.7696
-18.24943,40,26.430969
-21.825055,34,27.016372
-23.85935,101,28.696941
-40.420337,102,30.371534
-27.096823,43,31.08362
-51.48451,105,32.829348
-13.563757,18,34.516558
-14.754454,21,34.864131
-75.204809,113,36.810535
-20.158229,29,37.294267
-15.824169,33,37.824538
-23.196838,35,38.392667
-20.064172,33,38.925808
-20.724016,34,39.480313
-39.590864,81,40.823635
-17.681077,27,41.274881
-26.986326,50,42.098866
-26.516235,48,42.976676
-27.945461,68,44.15749
-14.397511,18,44.448568
-20.934283,33,44.986408
-25.859951,52,45.836984
-19.011193,27,46.275188
-17.731462,32,46.817964
-16.897569,32,47.34509
-16.678735,25,47.762765
-32.944284,53,48.643095
-47.880013,118,50.587865
-19.27549,33,51.122866
-34.419978,75,52.37515
-60.641559,106,54.134964
-27.048489,44,54.857901
-36.753645,59,55.82792
-15.643744,20,56.183779
-12.79644,20,56.522528
-17.879555,31,57.027343
-50.669191,107,58.804585
-35.734891,65,59.867258
-20.120449,41,60.540047
-37.974274,79,61.857701
-43.146128,70,63.005146
-28.957954,56,63.966349
-41.499057,82,65.440937
-61.065789,98,68.430411
-32.596905,73,69.637534
-30.675036,62,70.655217
-23.535536,43,71.351752
-18.131537,33,71.886583
-21.131507,32,72.414666
-19.678131,38,73.053078
-19.269789,24,73.451438
-24.276496,37,74.071445
-24.142866,39,74.712567
-106.088435,171,77.639291
-22.392568,34,78.205631
-40.262896,80,79.54443
-19.608313,37,80.1541
-53.179406,72,81.323228
-78.764838,166,84.031369
-31.064729,48,84.809482
-54.484475,83,86.180356
-26.561009,54,87.076205
-36.174593,82,88.413516
-41.133247,54,89.302823
-22.971044,42,89.994147
-36.582336,56,90.922011
-23.813278,48,91.718934
-61.868533,132,93.922153
-20.580277,37,94.554557
-24.212119,38,95.182067
-21.040317,46,95.95067
-32.028507,77,97.438092
-79.259171,150,101.307612
-20.596249,29,101.785236
-55.448603,123,103.834691
-19.340907,28,104.300149
-13.987951,26,104.738963
-12.993239,21,105.082527
-13.491466,25,105.484286
-32.348602,72,106.665871
-11.775394,17,106.948125
-12.823719,19,107.255987
-43.155911,100,108.92027
-28.38824,56,109.856873
-19.796327,30,110.364763
-28.535106,53,111.253627
-14.213862,23,111.633434
-27.204477,51,112.487841
-35.919003,66,113.582895
-25.825277,46,114.346926
-27.414154,37,114.959199
-13.993319,22,115.323375
-20.234222,43,116.03346
-13.15235,21,116.381455
-13.629396,23,116.761767
-42.096058,91,118.26783
-35.774402,49,119.081004
-55.181187,106,120.843957
-26.472078,50,121.670632
-25.674136,50,122.494427
-40.491974,74,123.70779
-18.355314,35,124.338598
-31.196831,85,125.820569
-48.513509,101,127.512615
-33.077088,52,128.370899
-41.981153,93,129.908284
-24.903074,46,130.671923
-16.116575,31,131.186626
-31.560576,62,132.212189
-35.468122,70,134.728235
-38.481624,63,135.765535
-24.077925,36,136.368732
-18.273861,31,136.887841
-21.695479,39,137.522157
-21.696633,46,138.297969
-17.966098,31,138.813684
-14.789321,20,139.150983
-22.265505,41,139.825375
-18.932805,33,140.368577
-33.347342,55,141.270422
-17.191646,20,141.605571
-33.720687,54,142.551081
-15.339403,22,142.917735
-19.80208,43,143.636018
-19.732981,38,144.249797
-26.578608,57,145.185736
-26.633677,45,145.947395
-28.60524,38,146.575252
-18.979867,28,147.043977
-14.850026,30,147.542171
-11.839153,22,147.900603
-31.957056,52,148.763292
-19.429472,34,149.321422
-11.899004,19,149.637629
-22.398712,35,150.204744
-21.826781,41,150.874608
-18.054193,32,151.401053
-23.324466,40,152.058591
-30.72077,40,152.718098
-15.828542,25,153.11869
-15.726678,30,153.615795
-32.305008,44,154.342831
-26.693119,60,155.326571
-18.642476,35,155.900713
-18.396439,26,156.328375
-9.873557,14,156.565158
-20.944498,29,157.044858
-25.657504,48,157.835687
-24.463586,44,158.566438
-36.882063,56,159.501274
-12.492758,23,159.885097
-18.98639,23,160.270776
-17.398977,33,160.819056
-16.613615,31,161.336376
-22.383112,29,161.820685
-35.105343,56,162.759359
-13.525972,19,163.213294
-20.395493,36,163.820248
-11.128671,14,164.053993
-24.760525,47,164.83381
-14.071179,17,165.10828
-11.066694,17,165.394761
-12.837394,17,165.672361
-25.05998,43,166.373001
-18.472773,41,168.406191
-10.476229,15,168.65614
-16.06311,31,169.175252
-12.282388,17,169.457422
-21.72181,36,170.050967
-12.211536,17,170.329262
-13.364617,19,170.64145
-29.831728,46,171.404437
-26.738229,39,172.028424
-13.661804,24,172.434031
-36.699893,59,173.429841
-15.163413,27,173.883202
-15.323229,37,174.491361
-21.168418,36,175.102996
-16.834869,33,175.645482
-23.640089,41,176.336236
-14.734091,24,176.726841
-17.480249,27,177.178149
-57.694521,105,178.921322
-19.192147,35,179.51037
-32.687188,62,180.542357
-19.621285,36,181.151986
-30.257869,48,181.949211
-19.120743,35,182.52686
-15.207134,19,182.843519
-22.726405,30,183.347639
-10.811805,15,183.596738
-28.002711,38,184.292359
-14.477886,17,184.611611
-20.597882,38,185.28722
-11.569347,16,185.552295
-12.776612,19,185.866836
-13.168246,24,186.258395
-24.008231,35,186.841957
-12.759058,22,187.211741
-16.56457,23,187.594996
-10.103116,12,187.789984
-19.707907,36,188.388509
-22.193095,44,189.128072
-22.364239,38,189.759964
-13.230102,23,190.141201
-25.884272,34,190.703868
-14.843712,22,191.082782
-20.380205,33,191.623559
-22.755268,45,192.358863
-11.99241,26,192.788743
-14.428252,27,193.252048
-16.451449,21,193.598075
-19.321977,34,194.171544
-9.786525,11,194.354778
-12.332365,18,194.652474
-17.238185,24,195.05213
-26.579055,50,195.876566
-11.928045,20,196.212754
-27.184454,48,197.024455
-14.693216,25,197.443113
-21.001361,38,198.082311
-13.337559,17,198.365022
-16.21449,31,198.88137
-15.301798,28,199.354582
-29.189461,49,201.516608
-16.934654,24,201.915314
-14.130535,24,202.313392
-16.84156,29,202.796958
-20.734433,37,203.417188
-17.023925,25,203.832603
-6.086902,19,204.149619
-17.13626,20,204.475397
-10.364632,15,204.725461
-28.512767,53,205.606448
-12.762737,15,205.85396
-15.377404,24,206.247093
-14.535847,21,206.599323
-12.418018,16,206.877632
-30.789906,51,207.714652
-13.587047,21,208.066863
-23.573516,35,208.648962
-13.767613,22,209.013023
-22.399285,37,209.620437
-11.955205,17,209.899983
-17.698682,21,210.253772
-12.379656,17,210.533594
-32.710959,60,211.594149
-13.061324,19,211.913907
-11.377961,12,212.113432
-22.58394,37,212.723948
-13.728934,18,213.031745
-12.087711,14,213.263415
-10.329779,14,213.496182
-20.338482,38,214.127613
-12.433957,17,214.412341
