#{"t_start": 1750698658.259722, "env_id": "None"}
r,l,t
-89.474559,202,4.407988
-92.602913,183,7.404037
-26.08195,42,8.102338
-30.856306,67,9.205314
-26.321712,64,10.28011
-55.009454,107,12.061872
-40.615838,78,13.352602
-59.078669,132,15.591611
-18.705557,25,15.999891
-59.100288,123,18.020662
-51.815681,86,19.409272
-41.455324,85,20.800933
-21.277048,42,21.504413
-17.522847,26,21.937526
-22.891555,33,22.484702
-58.942095,111,24.306852
-110.746469,184,27.397515
-39.018495,81,28.745009
-54.739114,117,30.671301
-29.499082,61,31.681633
-36.131583,72,34.267373
-16.68128,29,34.747885
-25.709002,39,35.390292
-44.37291,71,36.638268
-42.364106,71,37.80663
-61.441005,118,39.728108
-31.723798,75,40.978139
-27.666315,59,41.952004
-27.841285,54,42.866169
-18.575755,33,43.533198
-17.987376,33,44.076573
-17.991656,29,44.545884
-23.950991,52,45.397079
-27.006574,39,46.034016
-24.559257,49,46.850328
-11.046362,17,47.12661
-27.722157,63,48.184192
-35.795301,89,49.643665
-61.708609,102,51.328416
-17.528385,33,51.88059
-21.572388,39,52.521008
-102.178265,185,55.581448
-14.885171,27,56.049882
-15.514947,28,56.52209
-29.065765,45,57.267457
-17.072909,25,57.677129
-21.830603,45,58.429096
-46.621415,89,59.883765
-21.535926,34,60.442502
-73.362996,256,64.791356
-27.308583,51,65.670249
-65.074521,110,68.86496
-33.480194,59,69.833616
-27.399986,41,70.505467
-38.09056,54,71.38413
-53.650804,86,72.791156
-32.485517,57,73.75791
-38.751667,53,74.631076
-15.153465,27,75.08017
-16.697984,28,75.544837
-16.430359,26,75.972117
-23.280542,47,76.847349
-18.550562,26,77.284296
-58.471156,89,78.753294
-29.842187,47,79.544011
-16.055786,29,80.023129
-31.772798,54,80.903297
-61.591552,114,82.752806
-12.454714,19,83.062061
-44.421761,88,84.501105
-68.541714,107,86.26242
-28.640236,59,87.240549
-9.462351,14,87.466531
-30.574194,45,88.200158
-17.272261,32,88.723398
-20.970021,33,89.270481
-31.713927,53,90.143609
-33.597974,68,91.268073
-53.350765,100,92.936598
-23.044693,47,93.720317
-25.954834,53,94.619711
-29.507798,42,95.318375
-44.118946,93,96.852811
-58.171784,129,99.25984
-32.636778,61,101.60371
-13.228579,18,101.898158
-24.099591,49,102.702714
-26.236825,55,103.634891
-18.931385,33,104.186868
-39.981304,87,105.616594
-35.518449,51,106.44718
-19.701732,28,106.915605
-23.462802,43,107.622665
-17.687787,23,108.005613
-18.839641,42,108.700463
-45.125267,82,110.075609
-15.792355,28,110.547213
-15.304936,23,110.933837
-26.646831,46,111.699166
-35.880171,48,112.503994
-20.483024,40,113.176072
-28.785885,56,114.097709
-22.189095,40,114.761082
-32.002016,58,115.724185
-28.846355,48,116.510037
-36.155736,75,117.754365
-33.779291,59,118.730971
-17.296508,26,119.161993
-13.764133,22,119.52855
-20.255307,48,120.32844
-21.689866,46,121.091603
-29.629155,58,122.046288
-52.442659,105,123.773082
-25.049893,45,124.598268
-26.762681,46,125.411931
-20.269209,40,126.070943
-39.650457,53,126.958458
-26.709888,36,127.559565
-25.896398,48,128.353722
-26.575773,39,128.996639
-35.384729,46,129.762465
-28.075727,42,130.46139
-44.613578,91,131.963178
-21.522578,40,132.636505
-19.410081,43,134.694939
-22.935876,33,135.239198
-25.096567,33,135.78281
-30.81345,52,136.660495
-16.833462,34,137.209316
-16.513812,31,137.726756
-55.96057,79,139.05107
-12.637739,19,139.367886
-16.909357,38,139.990025
-13.520655,24,140.38557
-18.365968,31,140.89472
-25.073767,39,141.536871
-22.080199,26,141.958304
-21.61329,30,142.518016
-19.072742,23,142.901261
-23.764824,51,143.753656
-19.09683,29,144.217244
-35.540271,59,145.185749
-15.983025,29,145.687554
-15.867107,18,145.979488
-21.565575,37,146.591204
-21.977955,38,147.226611
-25.198243,45,147.964009
-15.264089,22,148.329728
-18.000302,27,148.779109
-16.823025,28,149.238518
-19.972166,36,149.833049
-18.808271,35,150.396697
-22.38911,40,151.056775
-17.971424,33,151.59874
-27.785798,41,152.270671
-34.079059,46,153.022849
-23.54951,43,153.730712
-15.598935,27,154.182737
-20.171225,31,154.684225
-12.230898,17,154.959332
-17.400069,26,155.391832
-13.121555,17,155.672222
-16.213637,28,156.128218
-18.299712,36,156.733377
-60.014921,102,158.413341
-24.16404,39,159.07263
-21.973578,43,159.781395
-20.040087,35,160.371552
-13.496768,23,160.752644
-38.483036,69,161.90597
-18.045744,33,162.4563
-20.15967,38,163.23696
-24.826177,42,163.937782
-15.593188,23,164.326048
-15.473204,30,164.817716
-19.812658,26,165.248448
-25.785919,41,165.920011
-12.155738,17,166.19601
-24.25073,46,168.307008
-15.536088,22,168.675068
-12.156988,17,168.952413
-10.968701,14,169.187958
-11.834486,18,169.493517
-16.856457,27,169.93268
-41.567881,96,171.516002
-15.76175,23,171.884035
-25.529258,46,172.65009
-14.415538,20,172.984774
-27.183938,51,173.850307
-30.16896,47,174.622694
-13.99773,25,175.047755
-13.35749,20,175.384516
-13.234501,27,175.831141
-24.494093,30,176.3358
-17.345647,38,176.960598
-12.796042,22,177.332056
-11.905356,16,177.599069
-13.529146,22,177.96616
-27.672085,70,179.117122
-15.455668,29,179.60885
-26.34741,33,180.159701
-11.527843,15,180.410088
-15.990253,28,180.882085
-13.283215,21,181.2375
-11.985006,18,181.530721
-11.39456,15,181.77703
-13.49965,17,182.061317
-13.168773,16,182.323639
-15.088278,25,182.74467
-12.265235,19,183.061075
-12.736784,22,183.429891
-18.553805,29,183.93616
-14.942133,22,184.347237
-16.928736,23,184.777681
-23.583124,35,185.388453
-14.396755,22,185.754638
-11.680774,21,186.096281
-23.143357,45,186.841517
-16.064808,29,187.330195
-13.186613,18,187.626946
-12.369347,15,187.873038
-20.001222,29,188.355992
-48.437446,78,189.662282
-17.508508,23,190.042449
-19.369588,34,190.605341
-12.174265,21,190.963163
-25.089143,31,191.478132
-29.879054,43,192.177215
-48.657061,73,193.400282
-18.054285,26,193.83354
-13.733544,28,194.303015
-12.826398,23,194.685283
-27.270656,50,195.510514
-20.906314,37,196.129063
-20.35439,35,196.729476
-18.408985,29,197.208921
-18.490007,32,197.743494
-17.762598,28,198.211311
-17.996951,26,198.646089
-21.702047,32,199.188185
-17.89566,40,199.854206
-11.611194,17,201.484322
-15.212524,19,201.800697
-10.143583,13,202.013312
-15.338321,23,202.393341
-18.20861,34,202.962162
-14.512173,25,203.380337
-14.633547,25,203.799894
-13.693209,23,204.181615
-20.698438,31,204.692546
-20.538233,38,205.326728
-13.691435,23,205.706604
-14.328552,26,206.129276
-17.275238,21,206.483825
-12.859612,20,206.821156
-25.981827,40,207.483135
-13.556321,25,207.897554
-17.800791,23,208.285947
-17.149744,24,208.681481
-14.019946,24,209.076129
-17.161043,30,209.57084
-15.496838,28,210.033329
-15.294481,27,210.48453
-14.706835,22,210.852708
-19.443694,28,211.378591
-16.661806,24,211.777444
-15.526817,32,212.310246
-14.52088,17,212.58869
-11.836253,15,212.843349
-12.231329,19,213.161263
-19.736177,29,213.644642
-11.519682,14,213.877086
-16.116468,26,214.30977
-32.080932,61,215.320056
-12.325979,18,215.619422
-13.327242,25,216.030504
-9.923842,14,216.261451
-16.688478,27,216.701077
-20.024593,38,217.333696
-21.919581,32,217.868486
-13.232684,20,218.197148
-12.853295,19,218.514972
-10.257998,15,218.759931
-19.04033,36,219.365412
-15.19542,19,219.682444
-15.085755,19,219.997165
-11.338238,14,220.227777
-27.184194,36,220.815881
-15.910657,23,221.200544
-20.761319,29,221.689564
-11.86969,16,221.965034
-14.160468,19,222.283457
-20.073329,30,222.788914
-9.770202,14,223.10987
-14.433526,19,223.459215
-14.104688,25,223.880119
-13.448293,16,224.145172
-19.059217,31,224.664879
-20.307188,25,225.088533
-12.721732,24,225.502053
-12.130739,14,225.732438
-19.645935,29,226.212426
-14.525823,19,226.552279
-12.402938,18,226.850579
-18.31522,35,227.421227
-9.880489,13,227.63354
-13.688401,22,227.996769
-11.127007,17,228.281658
-13.194035,24,228.679262
-20.206832,36,229.279165
-14.005056,21,229.629804
-15.637123,28,230.107681
-12.05265,15,230.358733
-15.696426,26,230.790782
-21.041652,38,231.425474
-17.161429,34,231.994438
-17.336047,21,232.346303
-16.596631,32,232.8854
-11.970824,13,233.111318
-18.82976,31,234.968044
-9.868187,11,235.15387
-17.760372,37,235.767526
-10.447707,15,236.021019
-13.802947,17,236.30526
-10.915078,11,236.488748
-19.465351,35,237.076003
-16.904492,22,237.434753
-13.069452,15,237.687439
-10.57368,14,237.928544
-15.935247,21,238.282886
-14.80103,27,238.736342
-21.114309,34,239.28583
-14.882959,26,239.719862
-12.002295,21,240.077094
-22.118853,33,240.626594
-14.987826,20,240.958593
-12.773745,20,241.301949
-14.254896,20,241.635584
-12.493421,21,241.995503
-17.215285,23,242.382715
-15.735027,29,242.859949
-13.05626,18,243.184572
-11.670231,17,243.488996
-18.959722,29,243.987239
-13.429253,24,244.381926
-10.630102,12,244.581414
-10.417632,12,244.784033
-14.253867,19,245.104677
-14.911403,18,245.430064
-10.960907,13,245.649774
-16.009727,24,246.048834
-14.148284,23,246.442818
-11.334335,21,246.794961
-12.236393,16,247.070321
-10.37155,13,247.292692
-12.311249,20,247.634175
-15.307021,29,248.115469
-14.463047,21,248.476683
-12.545061,20,248.808225
-20.621901,44,249.529946
-12.587388,15,249.779972
-14.316499,23,250.160583
-12.038618,20,250.492289
-19.283478,34,251.05263
-12.795979,15,251.299479
-11.364035,12,251.50146
-10.859596,19,251.815781
-14.399063,25,252.225107
-12.131447,22,252.593266
-13.531466,21,252.941727
-13.979128,21,253.292758
-22.751356,46,254.07205
-10.16577,17,254.357965
-20.898922,37,254.994112
-10.61309,13,255.228135
-12.080566,20,255.570094
-10.884532,14,255.801225
-15.831719,21,256.148723
-18.890986,35,256.740107
-15.051639,22,257.114136
-10.242492,16,257.378308
-11.475427,20,257.708933
-13.759662,19,258.026683
-19.284383,37,258.65639
-11.338028,14,258.893985
-24.81924,37,259.517096
-10.052659,14,259.745148
-16.034627,29,260.226555
-10.420785,13,260.445381
-14.624274,19,260.758761
-16.843361,26,261.186894
-28.299394,43,261.892813
-13.228576,23,262.276378
-11.681234,15,262.518634
-17.502572,23,262.908174
-17.013146,24,263.308881
-11.975503,15,263.563241
-39.998402,66,264.676117
-9.956146,14,264.903772
-11.833637,19,265.223326
-9.79567,13,265.442555
-17.284328,34,266.009216
-10.940492,20,266.343233
-11.93366,19,266.655899
-11.826971,13,266.87474
-14.965516,28,268.692382
-14.801455,18,268.999804
-12.650974,21,269.353049
-18.179188,29,269.835826
-11.401847,23,270.221249
-10.725412,15,270.473566
-13.398595,22,270.833603
-12.388831,19,271.150137
-12.008003,21,271.501232
-14.654571,21,271.861112
-12.293394,14,272.095801
-18.252397,25,272.524277
-15.953494,22,272.905451
-10.656063,14,273.138246
-11.758324,13,273.355702
-20.536105,44,274.085298
-13.306945,22,274.458793
-10.463574,13,274.677884
-11.860239,19,274.999599
-14.631353,19,275.316254
-16.511504,37,275.91652
-13.886962,20,276.24459
-12.005564,17,276.525004
-11.622507,19,276.837595
-10.302213,12,277.033628
-14.237277,21,277.380856
-11.829168,22,277.748483
-11.090573,16,278.017053
-14.985701,27,278.466029
-10.68456,16,278.731953
-12.122131,18,279.028965
-12.808149,14,279.266307
-14.553218,24,279.671187
-12.497691,21,280.023435
-12.414818,20,280.352872
-12.005793,18,280.649017
-12.371519,19,280.962735
-15.585566,22,281.32835
-14.19443,17,281.61116
-10.90419,19,281.927365
-16.789783,23,282.309223
-11.636184,18,282.601968
-13.312054,16,282.899847
-14.978952,18,283.268173
-12.761401,22,283.63842
-12.069481,17,283.92062
-13.732255,26,284.35622
