Wall time,Step,Timestep,Value
1750413296,1459200,2472960,0.709999979
1750413400,1474560,2488320,0.699999988
1750413504,1489920,2503680,0.589999974
1750413609,1505280,2519040,0.689999998
1750413714,1520640,2534400,0.610000014
1750413818,1536000,2549760,0.540000021
1750413923,1551360,2565120,0.689999998
1750414029,1566720,2580480,0.689999998
1750414133,1582080,2595840,0.75999999
1750414237,1597440,2611200,0.689999998
1750414342,1612800,2626560,0.74000001
1750414447,1628160,2641920,0.639999986
1750414551,1643520,2657280,0.649999976
1750414655,1658880,2672640,0.639999986
1750414759,1674240,2688000,0.670000017
1750414863,1689600,2703360,0.49000001
1750414970,1704960,2718720,0.449999988
1750415075,1720320,2734080,0.639999986
1750415179,1735680,2749440,0.469999999
1750415283,1751040,2764800,0.409999996
1750415388,1766400,2780160,0.529999971
1750415492,1781760,2795520,0.75
1750415596,1797120,2810880,0.579999983
1750415701,1812480,2826240,0.680000007
1750415805,1827840,2841600,0.790000021
1750415909,1843200,2856960,0.730000019
1750416013,1858560,2872320,0.709999979
1750416118,1873920,2887680,0.699999988
1750416222,1889280,2903040,0.720000029
1750416325,1904640,2918400,0.709999979
1750416429,1920000,2933760,0.689999998
1750416533,1935360,2949120,0.75
1750416637,1950720,2964480,0.709999979
1750416741,1966080,2979840,0.730000019
1750416845,1981440,2995200,0.699999988
1750416949,1996800,3010560,0.829999983
1750417054,2012160,3025920,0.720000029
1750417158,2027520,3041280,0.75999999
1750417262,2042880,3056640,0.730000019
1750417366,2058240,3072000,0.819999993
1750417471,2073600,3087360,0.779999971
1750417575,2088960,3102720,0.75
1750417679,2104320,3118080,0.829999983
1750417783,2119680,3133440,0.800000012
1750417887,2135040,3148800,0.810000002
1750417991,2150400,3164160,0.75
1750418096,2165760,3179520,0.75
1750418200,2181120,3194880,0.730000019
1750418305,2196480,3210240,0.810000002
1750418409,2211840,3225600,0.800000012
1750418513,2227200,3240960,0.709999979
1750418617,2242560,3256320,0.800000012
1750418722,2257920,3271680,0.839999974
1750418826,2273280,3287040,0.75999999
1750418931,2288640,3302400,0.850000024
1750419036,2304000,3317760,0.779999971
1750419140,2319360,3333120,0.829999983
1750419244,2334720,3348480,0.899999976
1750419349,2350080,3363840,0.810000002
1750419453,2365440,3379200,0.860000014
1750419558,2380800,3394560,0.879999995
1750419662,2396160,3409920,0.779999971
1750419766,2411520,3425280,0.689999998
1750419871,2426880,3440640,0.730000019
1750419975,2442240,3456000,0.779999971
1750420079,2457600,3471360,0.74000001
1750420184,2472960,3486720,0.810000002
1750420289,2488320,3502080,0.829999983
1750420393,2503680,3517440,0.810000002
1750420497,2519040,3532800,0.839999974
1750420601,2534400,3548160,0.860000014
1750420706,2549760,3563520,0.870000005
1750420810,2565120,3578880,0.790000021
1750420914,2580480,3594240,0.889999986
1750421018,2595840,3609600,0.829999983
1750421122,2611200,3624960,0.829999983
1750421226,2626560,3640320,0.819999993
1750421331,2641920,3655680,0.860000014
1750421435,2657280,3671040,0.74000001
1750421539,2672640,3686400,0.829999983
1750421643,2688000,3701760,0.800000012
1750421747,2703360,3717120,0.839999974
1750421852,2718720,3732480,0.899999976
1750421957,2734080,3747840,0.839999974
1750422061,2749440,3763200,0.790000021
1750422165,2764800,3778560,0.860000014
1750422270,2780160,3793920,0.819999993
1750422374,2795520,3809280,0.870000005
1750422478,2810880,3824640,0.819999993
1750422582,2826240,3840000,0.850000024
1750422686,2841600,3855360,0.860000014
1750422791,2856960,3870720,0.800000012
