#{"t_start": 1750698658.259707, "env_id": "None"}
r,l,t
-27.441178,46,1.743042
-15.823532,26,2.182461
-185.425082,312,7.386498
-16.29654,35,7.971674
-14.963573,38,8.587885
-27.559671,45,9.338668
-21.561679,44,10.078681
-35.118473,71,11.268884
-35.259079,73,12.467538
-43.648808,85,13.927905
-15.580942,24,14.323159
-40.764967,94,15.885921
-30.655193,53,16.769235
-15.354778,25,17.178636
-25.435156,49,17.971801
-29.227886,57,18.895169
-26.266861,65,19.940061
-19.908243,38,20.569188
-16.634377,24,20.967785
-12.883655,25,21.388607
-13.062937,21,21.740464
-72.295717,104,23.457083
-23.498458,33,24.001095
-22.563187,39,24.640089
-25.703666,44,25.365618
-49.750155,82,26.7488
-34.320244,66,27.861367
-20.252398,41,28.541448
-18.601703,24,28.943985
-33.189943,44,29.6676
-37.329917,75,30.901392
-36.081083,68,32.041377
-19.413982,37,32.648484
-16.949786,26,34.466513
-25.321377,44,35.1939
-27.1851,45,35.935044
-19.219915,27,36.454579
-27.867827,56,37.391094
-40.95517,90,38.844046
-143.983093,312,44.141494
-99.739708,187,47.209896
-35.508854,71,48.397451
-36.721576,49,49.206622
-43.291336,74,50.421984
-62.005186,96,52.012578
-33.046468,57,52.952292
-11.548772,16,53.218997
-26.558291,56,54.150382
-26.483913,37,54.756297
-18.358269,30,55.248238
-21.120803,39,55.892983
-10.702803,17,56.200303
-85.112136,149,58.673838
-20.734847,30,59.170425
-39.423913,59,60.13155
-90.619051,166,62.872612
-18.921777,38,63.503736
-13.05742,15,63.755264
-40.0221,61,64.888111
-32.968024,62,65.940443
-20.601881,33,67.84664
-24.034435,49,68.665825
-14.07006,16,68.930271
-25.987512,56,69.853671
-21.846112,42,70.539006
-18.591632,41,71.204226
-27.240577,52,72.052808
-37.420704,78,73.350615
-33.349837,51,74.202501
-21.666125,30,74.69628
-32.713475,63,75.739068
-35.985731,68,76.967837
-30.334701,52,77.819417
-24.417015,45,78.567117
-19.95061,37,79.188924
-31.785697,73,80.399881
-42.909057,83,81.743828
-20.209475,36,82.328208
-16.267732,20,82.652016
-29.414391,42,83.350193
-14.832351,30,83.834561
-22.841087,33,84.372966
-31.563741,51,85.201845
-38.401264,85,86.606624
-20.644462,31,87.125563
-73.063306,123,89.138301
-20.030031,32,89.665589
-51.607565,102,91.350669
-22.448494,41,92.0348
-28.728346,37,92.657107
-27.082331,52,93.520878
-13.488596,21,93.872123
-13.422409,24,94.278974
-15.919512,33,94.832674
-46.04701,86,96.268027
-20.492049,38,96.888121
-18.885397,33,97.674476
-20.541142,42,98.381635
-16.830226,24,98.778828
-22.29634,39,99.440166
-21.55651,43,101.48956
-38.242897,66,102.567756
-36.900899,86,104.020307
-18.605497,34,104.598836
-21.098645,41,105.259362
-25.557997,34,105.809786
-16.795383,31,106.309335
-34.535535,67,107.421886
-16.336268,24,107.828053
-36.468014,77,109.11139
-36.366375,82,110.480087
-11.695748,17,110.768438
-24.882402,44,111.497057
-19.014188,33,112.046803
-15.998216,25,112.471375
-22.30035,45,113.22514
-24.127413,38,113.847218
-22.866276,45,114.598038
-26.582377,53,115.471717
-11.3802,15,115.72438
