#{"t_start": 1750698658.261442, "env_id": "None"}
r,l,t
-20.027154,29,1.463037
-56.983197,114,3.424333
-28.195262,47,4.206971
-20.054113,35,4.784195
-29.888903,70,5.930339
-20.960109,32,6.449374
-15.655166,19,6.762528
-20.304168,36,7.352502
-23.695343,38,7.98583
-43.233207,85,9.386108
-65.038332,121,11.416634
-26.982357,37,12.025783
-22.239271,54,12.9241
-29.438709,51,13.764144
-17.929227,27,14.2567
-25.535068,32,14.78577
-24.783783,47,15.573099
-50.251098,72,16.767995
-18.040223,25,17.177814
-23.874919,34,17.728361
-22.27756,31,18.22739
-33.557407,55,19.117942
-47.134465,93,20.632641
-40.518257,80,21.969197
-66.641312,118,23.91837
-41.396435,89,25.380778
-13.344814,18,25.673722
-49.709743,85,27.12865
-21.866769,51,27.974817
-35.956306,92,29.503309
-16.987346,30,29.996622
-58.034429,89,31.465017
-33.216598,52,32.337735
-14.306279,17,32.614453
-40.118683,82,35.355588
-17.779831,23,35.729615
-15.784594,29,36.286567
-22.259134,46,37.060681
-45.655613,76,38.29342
-43.900568,76,39.52779
-25.508715,55,40.438407
-21.898557,47,41.220267
-43.533058,71,42.394568
-44.411077,61,43.547997
-12.776747,21,43.890861
-37.178292,80,45.195369
-51.827607,79,46.501901
-43.042554,68,47.625546
-75.800966,141,49.956789
-56.970056,106,51.704374
-37.938885,62,52.735661
-30.795787,72,53.936179
-24.020769,56,54.856139
-28.930007,43,55.563024
-49.891286,83,56.960291
-45.763237,75,58.20934
-24.189469,46,58.968609
-40.226651,75,60.194753
-34.457867,88,61.648632
-39.386497,108,63.434669
-19.836798,39,64.136998
-40.560862,59,65.208932
-9.8784,14,65.439549
-30.954723,56,67.726576
-25.126837,44,68.462249
-38.467865,76,69.718313
-24.453246,43,70.423497
-12.280138,24,70.815849
-26.611683,60,71.787212
-25.834193,50,72.605627
-30.611446,44,73.348961
-22.779026,44,74.085957
-24.444202,45,74.830442
-18.816236,26,75.263625
-15.934354,29,75.736989
-64.263988,92,77.36332
-18.526457,39,78.001194
-27.567486,53,78.887492
-33.356991,72,80.086915
-23.084912,49,80.884787
-32.867043,65,81.937077
-12.483033,20,82.25979
-45.085145,67,83.364916
-43.561998,70,84.498785
-26.447907,48,85.283254
-32.845247,47,86.064454
-23.195944,33,86.605117
-40.76815,90,88.085005
-19.919826,41,88.755753
-46.053596,89,90.223881
-21.109882,41,90.903678
-37.190633,54,91.799827
-48.497629,102,93.502517
-23.296689,40,94.179002
-17.342655,30,94.683422
-44.808621,105,96.431108
-25.511565,33,96.974254
-10.932279,19,97.519115
-34.111207,60,98.530943
-19.534412,24,98.934302
-32.017129,54,101.174947
-25.697686,41,101.848594
-21.953895,40,102.501366
-16.051337,26,102.952628
-23.457312,41,103.632915
-26.501975,36,104.234686
-12.711263,20,104.573654
-27.004622,47,105.337888
-43.132307,86,106.748357
-29.321593,61,107.755558
-19.899475,36,108.349861
-69.43061,118,110.329659
-16.615413,25,110.750039
-25.378103,41,111.430781
-17.405547,22,111.798403
-50.755949,73,113.019416
-17.285577,22,113.386504
-48.199565,80,114.710277
-32.211021,44,115.436792
-19.215563,36,116.031835
-15.860324,32,116.562463
-14.201637,22,116.92349
-20.808953,44,117.651863
-22.730567,43,118.368714
-16.445329,31,118.877733
-30.254804,59,119.858942
-32.649433,52,120.728105
-17.670794,37,121.340178
-36.010743,65,122.404429
-23.23432,41,123.087723
-48.898619,90,124.648011
-15.539061,22,125.066794
-20.711299,31,125.574075
-40.292515,104,127.311984
-41.601094,60,128.302478
-30.939431,50,129.126671
-12.445412,22,129.483026
-17.246864,32,130.025788
-15.881254,28,130.49249
-18.32305,25,130.903184
-24.054823,42,131.599844
-38.625596,82,132.969251
-21.300871,39,134.960344
-25.963486,34,135.516413
-12.239969,19,135.829434
-17.266948,33,136.382395
-14.659336,18,136.690114
-18.882036,34,137.240333
-22.213343,37,137.862817
-30.179024,48,138.66375
-13.194644,23,139.048923
-18.182422,26,139.481487
-20.81104,38,140.103247
-45.389042,66,141.188367
-26.838689,53,142.055958
-25.073882,31,142.634664
-15.849476,28,143.099418
-13.16071,22,143.468574
-11.15707,14,143.699765
-15.641732,22,144.055925
-23.286428,49,144.855428
-11.633685,17,145.133193
-23.689212,49,145.961976
-44.138085,66,147.059198
-17.16215,21,147.408902
-28.377571,57,148.344807
-16.561902,28,148.810836
-23.679081,43,149.521599
-21.773654,36,150.107761
-25.693688,52,150.958218
-38.434437,65,152.024323
-13.685305,26,152.449288
-19.547635,27,152.891007
-16.204961,26,153.313952
-25.816012,42,154.013542
-38.791017,90,155.488379
-25.328235,50,156.309948
-23.160741,48,157.108033
-14.430352,20,157.435087
-19.202486,23,157.816979
-14.400582,27,158.263837
-19.379591,40,158.934208
-16.884325,27,159.379919
-11.045446,13,159.598445
-23.695222,45,160.353395
-17.837964,32,160.882745
-14.879828,27,161.334086
-15.759582,23,161.717136
-22.921802,43,162.437677
-21.044496,34,163.116771
-24.654025,48,163.952444
-42.331269,89,165.425987
-18.094843,32,165.950599
-14.229392,24,166.338656
-33.516621,43,168.404475
-16.887677,29,168.885284
-13.831433,21,169.235723
-14.898281,32,169.769565
-13.628155,21,170.114012
-15.261665,25,170.525208
-15.073906,24,170.924158
-11.942289,21,171.264341
-17.509514,29,171.739717
-17.886881,26,172.160207
-19.950244,30,172.664282
-20.958289,45,173.428253
-12.452921,25,173.849157
-18.745389,26,174.277011
-15.219437,27,174.721065
-5.48105,18,175.028205
-25.496388,42,175.730844
-30.294749,47,176.510859
-25.312894,41,177.193438
-15.095061,24,177.597668
-23.411496,42,178.294383
-12.133794,18,178.589953
-22.729355,45,179.339208
-13.736842,20,179.674532
-12.019733,21,180.024977
-21.620451,42,180.728334
-13.219876,18,181.032594
-11.488707,20,181.367799
-11.738479,14,181.594103
-16.397401,22,181.963446
-19.388781,28,182.421841
-15.661311,26,182.858163
-17.310006,27,183.312117
-27.983532,42,184.049698
-15.774661,21,184.437524
-21.608279,43,185.220014
-16.795103,31,185.735959
-19.332062,26,186.159028
-20.377564,36,186.75713
-17.393475,29,187.242036
-29.669532,59,188.222034
-21.431595,26,188.658694
-12.134592,16,188.924961
-15.887506,24,189.322625
-13.925649,21,189.677631
-15.837026,29,190.155952
-14.044543,16,190.421527
-14.205535,21,190.768334
-14.70797,27,191.232167
-16.612151,25,191.638324
-14.64403,18,191.927656
-27.353686,66,193.029551
-17.004144,24,193.430846
-16.536877,32,193.966599
-21.483169,28,194.433723
-10.882109,14,194.667152
-20.284964,39,195.314585
-14.185916,21,195.660896
-16.0885,24,196.060021
-19.414863,25,196.484872
-12.196634,14,196.728218
-21.046271,30,197.224462
-13.960301,25,197.639985
-10.620662,13,197.865722
-13.633346,16,198.128438
-14.487134,28,198.593897
-19.594593,33,199.150222
-17.349326,33,199.699436
-15.749207,25,201.462864
-32.311146,63,202.512277
-16.759179,30,203.011833
-16.642913,33,203.563578
-13.905348,24,203.961206
-20.590078,28,204.424835
-17.107848,24,204.821568
-19.46296,32,205.358019
-10.706947,12,205.555049
-25.059832,48,206.350339
-12.250729,22,206.713542
-15.801223,29,207.201953
-12.865834,14,207.432991
-17.037332,39,208.082275
-19.359933,34,208.647185
-12.838121,19,208.962385
-15.423816,18,209.255719
-19.74657,40,209.915288
-20.19385,28,210.381289
-14.062507,24,210.78316
-13.199751,20,211.172835
-40.58692,73,212.390127
-14.711488,21,212.738631
-18.170451,24,213.1422
-14.877239,27,213.592351
-12.762387,25,214.008156
-11.87055,13,214.223403
-15.34374,25,214.64223
-16.986574,25,215.051001
-11.090277,16,215.317706
-19.350812,29,215.803533
-25.011147,33,216.34174
-15.850034,27,216.785158
-15.740498,26,217.218402
-9.804571,11,217.396654
-17.870207,28,217.866762
-14.501527,27,218.309959
-14.18039,24,218.709984
-13.934188,23,219.091444
-17.609316,22,219.465836
-12.987099,24,219.866191
-19.410257,33,220.404454
-14.1687,26,220.830679
-19.901282,32,221.369529
-18.075002,33,221.926316
-15.489362,22,222.298053
-9.667504,13,222.520118
-15.900548,20,222.890841
-16.099394,25,223.389727
-14.587743,26,223.828353
-17.418856,26,224.261652
-9.951628,14,224.491782
-13.761713,21,224.851531
-19.592193,36,225.466776
-21.054635,29,225.944366
-16.101964,22,226.311813
-12.041753,16,226.600915
-13.897895,19,226.913673
-15.050766,20,227.237597
-11.56293,13,227.452216
-14.695791,25,227.865249
-16.956321,22,228.229442
-11.758247,20,228.558287
-12.752724,19,228.877636
-13.625003,23,229.261396
-20.544807,30,229.761412
-13.203687,22,230.139262
-21.633687,37,230.756052
-14.251856,26,231.189497
-11.192508,16,231.457088
-27.845126,45,232.211801
-14.776086,25,232.629076
-14.860519,26,233.072441
-13.952801,27,234.864659
-14.550585,20,235.200591
-12.020418,21,235.54953
-17.66371,33,236.101978
-13.928338,17,236.386288
-16.976947,29,236.872958
-10.765251,16,237.14268
-26.239672,39,237.784501
-12.259709,19,238.109741
-12.679746,21,238.466005
-13.210606,14,238.702492
-10.944062,14,238.930164
-17.632661,33,239.472839
-12.271151,25,239.885219
-12.476282,17,240.173588
-15.435206,23,240.559942
-13.048029,18,240.858477
-13.57081,20,241.199244
-14.351349,26,241.633765
-13.473488,17,241.927958
-4.901773,16,242.199881
-13.871754,18,242.494008
-10.726757,12,242.69394
-25.870442,34,243.284992
-10.025247,17,243.598029
-10.027853,16,243.864201
-15.787168,25,244.28351
-37.614553,72,245.514034
-23.442049,47,246.3018
-13.88202,16,246.573285
-11.817335,18,246.882653
-12.935768,16,247.159375
-12.228245,24,247.562914
-13.553698,23,247.952003
-11.7475,21,248.299283
-19.600184,31,248.822925
-8.973465,12,249.015004
-11.063615,15,249.266102
-15.749098,28,249.729388
-11.03241,19,250.040809
-17.786141,34,250.603759
-17.201749,27,251.051003
-19.422816,33,251.601984
-13.967539,21,251.942543
-13.749436,17,252.223817
-13.341934,20,252.554691
-18.975744,25,252.974825
-11.084457,15,253.226505
-14.574123,27,253.684303
-16.712198,21,254.037067
-14.494407,26,254.479986
-12.446576,17,254.775204
-10.824071,19,255.091989
-20.039168,34,255.68575
-12.772269,22,256.048513
-21.381853,35,256.639818
-11.029478,15,256.893604
-22.283329,39,257.542137
-14.621383,20,257.87378
-12.757403,23,258.267176
-29.988166,57,259.221859
-16.681764,25,259.64538
-19.547518,31,260.155448
-26.480017,54,261.04975
-13.407879,22,261.419361
-15.919109,29,261.891026
-13.140657,22,262.258549
-14.662242,20,262.583212
-18.009688,25,263.005822
-16.818484,29,263.495437
-12.944838,15,263.74321
-16.328145,27,264.201287
-11.781977,16,264.47276
-14.981286,19,264.787473
-13.088197,16,265.04972
-10.827023,19,265.375112
-22.095689,36,265.974225
-14.837938,19,266.292253
-21.97573,30,266.791835
-10.783757,14,268.369562
-15.79307,24,268.780149
-11.961204,14,269.01438
-10.800145,15,269.268429
-12.617356,17,269.550128
-16.71279,22,269.916325
-17.103069,27,270.3735
-12.592665,15,270.619177
-17.205254,25,271.029363
-9.887296,12,271.229405
-10.69828,21,271.586652
-19.47233,35,272.181048
-16.617193,23,272.575491
-13.069363,23,272.971865
-11.921839,17,273.255764
-15.275597,28,273.719943
-14.298247,17,274.001138
-15.798068,28,274.479507
-13.656195,18,274.777986
-15.096007,22,275.145828
-12.687978,15,275.39989
-12.54414,21,275.737458
-11.295548,16,275.995957
-12.316824,21,276.339854
-20.792089,29,276.819151
-12.701821,21,277.167872
-22.12489,39,277.812533
-11.769094,13,278.032766
-10.601428,16,278.297688
-10.104462,13,278.514105
-14.156129,18,278.812537
-13.891974,25,279.227206
-17.285904,25,279.652853
-15.463493,20,279.98924
-13.989346,21,280.334918
-11.975264,16,280.598866
-11.536871,22,280.960491
-10.207953,15,281.21089
-9.522951,15,281.458824
-10.292691,14,281.690907
-13.623685,23,282.073222
-11.314099,20,282.404723
-12.681154,18,282.698437
-22.800317,37,283.420856
-12.530754,20,283.755017
-9.923772,14,283.991508
-15.828825,22,284.354647
-16.597844,23,284.747468
-12.308599,19,285.063344
-11.411803,23,285.448402
-9.694115,13,285.664361
-11.922015,18,285.967644
-14.37906,21,286.320652
-22.228872,32,286.872044
-5.527311,18,287.177674
-10.260333,13,287.392463
-14.067025,20,287.729942
-15.735387,22,288.089943
-13.549076,23,288.481292
-9.943305,13,288.699674
-10.004703,12,288.906341
-14.570988,18,289.213436
-12.871629,22,289.594685
-13.772389,21,289.954676
-12.466597,15,290.207587
-11.976383,17,290.49532
-17.674509,21,290.857127
-11.08245,14,291.087365
-14.779111,19,291.404011
-14.812123,20,291.742778
-10.217277,12,291.947122
-13.288967,25,292.364264
-17.078947,22,292.738353
-12.937963,28,293.21286
-15.910398,28,293.696756
-14.7574,22,294.057785
-11.625833,14,294.297582
-18.13035,24,294.701764
-21.352114,31,295.217251
-13.333502,21,295.566033
-13.782293,18,295.864191
-10.672463,11,296.044922
-15.774995,27,296.493143
-11.19203,12,296.692484
-20.478362,34,297.262076
-9.937129,13,297.478611
-17.53067,26,297.916303
-13.250967,22,298.280282
-16.102531,24,298.682601
-13.123579,25,299.106467
-15.046475,22,299.482565
-14.803018,21,299.869935
-14.172483,27,300.365222
-14.487549,20,302.089911
-15.196344,26,302.528438
-9.135867,15,302.793399
-11.553087,17,303.081306
-11.969541,19,303.409943
-11.057708,12,303.607241
-10.482201,13,303.825061
-12.100662,20,304.200001
-14.266579,26,304.74669
-16.48879,26,305.535629
-11.55511,12,305.77436
-9.738608,11,305.963783
-14.642231,22,306.344891
-11.721145,19,306.679679
-11.873288,19,307.017647
-13.534817,16,307.289485
-14.226552,19,307.616178
-13.578848,16,307.888568
-10.765892,14,308.12291
-10.993889,15,308.37486
-14.490621,21,308.73302
-15.771856,22,309.10416
-14.754271,26,309.552178
-12.27232,17,309.844313
-12.737886,22,310.227616
-9.418801,12,310.439489
-16.815898,20,310.805522
-10.317107,15,311.074701
-11.862497,18,311.399162
-13.798109,25,311.868401
-11.53642,21,312.234878
-11.430857,16,312.512201
-14.469443,18,312.831082
-13.147133,22,313.216778
-13.213258,23,313.617098
-16.989949,25,314.058447
-12.179726,19,314.402171
-15.636316,23,314.794924
-10.987571,14,315.033281
-11.501323,19,315.371745
-10.226061,13,315.628759
-16.495267,25,316.074058
-11.240379,12,316.293609
-11.025074,15,316.564242
-10.950119,16,316.85087
-13.798517,20,317.195571
-13.269664,22,317.588628
-15.880204,24,318.00721
-10.924781,17,318.309853
-12.575774,25,318.745657
-14.637006,19,319.082719
-11.793491,19,319.408998
-11.701286,15,319.677908
-13.247641,27,320.144013
-13.208243,16,320.419039
-12.19931,21,320.793279
-10.224261,16,321.078531
-12.433188,26,321.551318
-14.483367,27,322.017688
-13.924971,23,322.422217
-16.380163,22,322.804889
-13.570427,22,323.202995
-13.764657,24,323.620541
-9.579397,14,323.868446
-17.506843,26,324.327223
-13.277475,18,324.648669
-11.525456,21,325.028287
-15.622207,20,325.382197
-13.249239,24,325.810665
-13.268133,21,326.227074
-11.358519,17,326.532973
-10.87026,20,326.874702
-11.257431,14,327.111697
-11.793085,13,327.341082
-12.397455,19,327.672636
-12.326543,18,328.000493
-16.151087,26,328.447785
-17.922146,31,328.988954
-11.375554,16,329.262601
-10.486082,13,329.489097
-11.862881,17,329.77443
-16.207465,23,330.17814
-12.511029,19,330.505802
-15.430267,25,330.943824
-13.80034,26,331.430383
-13.175126,17,331.742759
-13.552384,22,332.143495
-11.523804,18,332.477271
-11.421763,12,332.692163
-12.438075,21,333.076407
-12.734491,22,333.463459
-13.329125,20,333.822159
-11.702894,17,334.119733
-9.39333,12,334.332828
-14.078106,24,334.733046
-17.223355,24,335.13822
-20.226623,34,335.699632
-16.136477,26,336.141405
-15.873952,22,337.863867
-11.161285,17,338.150421
-13.16619,17,338.43309
-12.890204,16,338.704214
-15.132974,22,339.088849
-11.358935,16,339.357568
-10.73738,12,339.557038
-9.113782,12,339.754931
-11.924096,14,339.99084
